ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,best_theme,best_score
A,2021,0.0017182325346311756,0.0033101905531874977,0.008376632867730757,0.026877877860852863,0.007530119611572064,0.006376268517894146,0.006524302514521631,0.02301962507810375,0.009824089501957647,0.019371115991660276,0.016493257132526022,0.011511850804390511,0.012432568460046619,0.02630720046044018,0.05496646780696148,0.029129101107559986,0.042544057951194376,0.06935817878589425,0.027152762529093363,0.0184517024985767,0.037109035976260654,0.02121964819283482,0.016509395699315584,theme_17,0.06935817878589425
AAPL,2021,0.002277291356358695,0.00471602608138942,0.013928043328670226,0.04085142283750379,0.012307486994990112,0.010202537128231768,0.010257499956894322,0.05799528319688464,0.0142222814144537,0.04396557564930957,0.04423756137885011,0.016285271435489853,0.01593430293493363,0.028455693312403513,0.055576462712627915,0.028867833842622554,0.028769540417131378,0.04088556283129278,0.06757086801106604,0.04085392486438215,0.031188205579730677,0.02799003873072495,0.026404295751885264,theme_18,0.06757086801106604
ABBV,2021,4.47083419838401e-309,8.56901772863724e-309,1.7803337725166074e-308,4.1997159537093557e-308,1.948815584166015e-308,1.6681076833070065e-308,1.730076312522372e-308,3.5800460894580513e-308,1.7832399141401674e-308,3.420284168319378e-308,3.0416172379441865e-308,2.1933058095818817e-308,2.2067839546892507e-308,3.6744787825820608e-308,5.840314708517848e-308,3.714790831891806e-308,1.0,2.2601587813380884e-307,5.076975609723381e-308,3.36376007736592e-308,4.2657144901648874e-308,3.0661613155092823e-308,2.590607376499133e-308,theme_16,1.0
ABNB,2021,0.0017924108810446603,0.0036682180108968555,0.01158145523608468,0.024414429014488082,0.008932847334158726,0.007518735150898442,0.007533164796299805,0.052601374678017065,0.01206914449213954,0.03141938172288051,0.030888569896073928,0.010759004675431082,0.010789364546172407,0.017290423398067103,0.02889379108116965,0.018805594533851805,0.013710798211891974,0.01873467206101602,0.02896433023786117,0.03952004108833539,0.026545296619652145,0.02760900891094144,0.030820039606952603,theme_7,0.052601374678017065
ABT,2021,4.456668778371584e-309,8.64227783580453e-309,1.973151335624752e-308,5.957641720278678e-308,2.00846106548889e-308,1.699386511288277e-308,1.755657380571773e-308,4.729461012037758e-308,2.1123454672411315e-308,4.2549796164772715e-308,3.8180947257865008e-308,2.610193344952713e-308,2.645173393889876e-308,4.836224487841968e-308,9.49106954377566e-308,4.822487413314223e-308,2.1467359374958553e-307,1.0,7.730987943916118e-308,4.566478700064471e-308,5.765495453952307e-308,3.9215039026400393e-308,3.3085709624597677e-308,theme_17,1.0
ACGL,2021,0.0027762974933868015,0.006346296130214174,0.01648719951281469,0.011403904756265121,0.4200023621614049,0.09259178958940897,0.1442811262795792,0.0109966196816172,0.010081259543832434,0.011600242936061562,0.015496590631467855,0.011849351629431494,0.009197511286481962,0.010139792203862588,0.010968090655197087,0.008838820971112838,0.010449645075669568,0.01113532608753703,0.011801218944562684,0.011584699661149164,0.009913002277747671,0.010118138048416412,0.011844201411590951,theme_4,0.4200023621614049
ACN,2021,0.0019187466961949173,0.0039280879746344775,0.019390470545187197,0.015147015255251837,0.009659478058916404,0.008080619522315846,0.008190546690356978,0.021560530706160538,0.028408319640006098,0.02139172198539084,0.026131808427336856,0.012205244244816027,0.01208432651465841,0.015538010778201805,0.0182165353627555,0.016119517725797273,0.011484419475757861,0.013930786388520305,0.016341902630626636,0.017491454296965928,0.025003484899589448,0.03206063010191814,0.5729975609657272,theme_22,0.5729975609657272
ADBE,2021,4.34670576119309e-309,8.54996291497856e-309,2.6887739264321713e-308,4.407038059873986e-308,1.90085762030364e-308,1.6303073286401844e-308,1.64605487358864e-308,7.524176838413338e-308,3.769490280419295e-308,9.048054495592902e-308,5.28653117492511e-308,2.507493951744422e-308,2.716588582920319e-308,4.2002756090853544e-308,6.1494114413636145e-308,6.188389079516927e-308,3.4534339414617775e-308,4.2363339711461714e-308,4.844098878688756e-308,4.800785460282912e-308,1.5444651023449538e-307,1.0,1.0526314890717196e-307,theme_21,1.0
ADI,2021,4.344089828925195e-309,8.284989762031066e-309,2.2356045144203286e-308,6.347389439773152e-308,1.751413309967316e-308,1.5109286963841587e-308,1.5270176382970315e-308,7.583725867070827e-308,2.947672765514667e-308,6.371892806575271e-308,4.2744492687789436e-308,2.783428986874598e-308,3.238455782751936e-308,6.36232866551107e-308,1.4947800918339677e-307,1.539376148302997e-307,5.025386748215144e-308,6.201259822761354e-308,5.868631198638279e-308,5.028364803204232e-308,1.0,1.1185600245089309e-307,6.086871727379054e-308,theme_20,1.0
ADM,2021,0.002040515937497272,0.0041352803998567144,0.011396125068824231,0.05451765336029004,0.010027271842609448,0.008407373710661914,0.008520898425015393,0.04880697641980601,0.012205126678296367,0.028629478341833124,0.029051610203563394,0.015193527882993253,0.015279825170106624,0.030348819893781177,0.07186117079320836,0.028420718518141038,0.029517855658059793,0.049423019951572326,0.10367884468889016,0.04394611046745598,0.030135904895446503,0.02318998712272526,0.021977480651735277,theme_18,0.10367884468889016
ADP,2021,4.441043460947123e-309,8.992122667270765e-309,3.993904902259553e-308,3.792164134964222e-308,2.152712710958936e-308,1.8117233785346874e-308,1.831843013618953e-308,5.589282147710162e-308,5.783130592219582e-308,5.194991477799329e-308,5.761645936166284e-308,2.8530956606824515e-308,2.9077022630717486e-308,3.858186234179446e-308,4.571885106620954e-308,4.0992993839244397e-308,2.7464811332913853e-308,3.3574425071887573e-308,3.953702415813077e-308,4.349899309362004e-308,6.754765466873677e-308,8.947218006891669e-308,1.0,theme_22,1.0
ADSK,2021,4.354586129230886e-309,8.44716247172512e-309,2.5408774959491003e-308,6.123965397410259e-308,1.87067680328836e-308,1.597265964412658e-308,1.61679114018906e-308,8.806849722916259e-308,3.4580544632217243e-308,7.20985739011901e-308,4.958061979006092e-308,2.8972104679331902e-308,3.2650917580291724e-308,5.928579847838711e-308,1.0346578582954304e-307,9.370538914013355e-308,4.3773871301464527e-308,5.569927868244969e-308,5.906260288203498e-308,5.543019589448947e-308,1.0,1.830704011533564e-307,8.664577097499342e-308,theme_20,1.0
AEE,2021,0.0023065656369378336,0.004441853786246279,0.011368252687687541,0.015264997820224686,0.008632668153847781,0.007609246883843062,0.007675847198648955,0.014033775701394791,0.010604885471281456,0.010236357738124684,0.01164077847300047,0.03408234578086177,0.20203018854126353,0.04615882672125219,0.015623497090339831,0.013331107375246003,0.010627908054073175,0.011713544800762029,0.012592226085447227,0.012279476982119264,0.01314667455532623,0.011298714503571847,0.012880965509086885,theme_12,0.20203018854126353
AEP,2021,4.644727413350917e-309,8.881936009995866e-309,2.3005545511071424e-308,3.2023761875698705e-308,1.714957690315595e-308,1.5114578552094114e-308,1.52168767798695e-308,2.985394053236522e-308,2.2051934214343595e-308,2.141646713780312e-308,2.3960571580414507e-308,6.030250442914771e-308,1.0,1.053041745757138e-307,3.335340933414397e-308,2.867981516484713e-308,2.1810294514868196e-308,2.415080995056593e-308,2.6060738654540695e-308,2.5517176898423604e-308,2.8060721563576406e-308,2.392051536433955e-308,2.711312853703214e-308,theme_12,1.0
AES,2021,4.655950921700115e-309,8.895611176065704e-309,2.3276938719786314e-308,3.1449948199057498e-308,1.717085183677847e-308,1.5147589680161134e-308,1.523912077248444e-308,2.954717680206704e-308,2.2114019557623837e-308,2.1333526206602403e-308,2.3934483957370603e-308,6.030596273307797e-308,1.0,9.966313660806843e-308,3.2633753908170177e-308,2.8185976999862783e-308,2.1459685358848475e-308,2.374935104302325e-308,2.567903244682826e-308,2.5270139496762305e-308,2.7718492197988117e-308,2.3772862649943313e-308,2.707437189727948e-308,theme_12,1.0
AFL,2021,0.0028961063411349713,0.005884957039997613,0.030291622676334083,0.014726469984545423,0.012900482428442796,0.01119259956161745,0.011315223407815598,0.01816089027078754,0.18438403466742964,0.018044720348065854,0.021042211529920227,0.014651307068428522,0.014492415036496151,0.015585817899276445,0.015872455027167883,0.014683424184151262,0.011450887978705646,0.013115483301563523,0.014623296609097865,0.015426561350501881,0.01869737682421398,0.021184350863781412,0.03996707384611148,theme_8,0.18438403466742964
AIG,2021,0.003205702380101931,0.006508143618508455,0.033059505372755614,0.016239363469250055,0.014195050524758621,0.01232827605001257,0.01246248147306474,0.020031504755665983,0.2338585155214494,0.01989709712466675,0.023120230455340944,0.016141946246388032,0.015995422369259008,0.017191322657846998,0.017513120259987504,0.01622588940847864,0.012638214291318327,0.014468174723210525,0.016126399890726898,0.017010897062457595,0.020643472628876197,0.023387233524740283,0.04374630503748133,theme_8,0.2338585155214494
AIZ,2021,0.002920334851494413,0.006757584699175891,0.014674371507282393,0.010756752620772136,0.08794226869281883,0.1842415219004007,0.3693819387595304,0.01024335294922829,0.009381472653662898,0.010685018271477647,0.013697635792673156,0.011333302642115673,0.008883174911177991,0.009576877558371956,0.010199317144978884,0.008384968693351223,0.009870694461544968,0.010370831392394912,0.010919416297514513,0.01082973327897656,0.009213670863733864,0.009366961857468185,0.01072385853559319,theme_6,0.3693819387595304
AJG,2021,0.0019091547544035732,0.003837948686260461,0.0175649184179052,0.009968316887611904,0.008198423399879265,0.007129880845624509,0.007211805435918679,0.012521343977646636,0.21020136611354712,0.012427341031374124,0.013857881901081804,0.009466804999594855,0.009595743416597193,0.01053960203898531,0.010915560656094683,0.010204843007969547,0.007726601224379103,0.008866681910649378,0.009862811785024912,0.010425108033273137,0.013244757130479555,0.01518196566148622,0.028361850184559084,theme_8,0.21020136611354712
