ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,best_theme,best_score
AAPL,2021,5.161306941742241e-308,4.112684714238937e-308,4.2021407328183e-308,3.5490571521790173e-308,3.5951400446114416e-308,4.2087395372079047e-308,5.004531719871263e-308,5.041818838197208e-308,1.0,7.612399005620491e-308,8.749213507682021e-308,6.097572361325178e-308,5.571202894556509e-308,1.0186611464619474e-307,theme_8,1.0
ABBV,2021,0.044874562702613884,0.04185075655203036,0.08924571532236374,0.24318177110842876,0.0480748236703711,0.04344794255836665,0.03769465250601335,0.03788962229421181,0.05264399295979681,0.04189447628876685,0.04937222661785141,0.0488456126075719,0.039338980665952664,0.05613794549367245,theme_3,0.24318177110842876
ABT,2021,2.7466932156292075e-308,2.727040058340755e-308,5.500251962616184e-308,1.0,3.3686119418703293e-308,2.8695322435245514e-308,2.512812019137702e-308,2.4486657639610573e-308,3.061729760855806e-308,2.53667862445946e-308,2.852338496118573e-308,2.9848037598680155e-308,2.4975128489291356e-308,3.2803649970331576e-308,theme_3,1.0
ACN,2021,0.05237136175241311,0.06591399513709129,0.0501832355139652,0.03808258543407746,0.059039688362504894,0.07370337204933244,0.04399601177997907,0.06551126682881171,0.062479202376227755,0.05516810849833454,0.061188499207343615,0.11730417659413475,0.09768924811622838,0.08558841995883443,theme_11,0.11730417659413475
ADBE,2021,5.098209368323482e-308,3.692480897921935e-308,3.5742254094779863e-308,3.1063341038421467e-308,3.5355971805267283e-308,4.115133707593759e-308,6.261652754978077e-308,5.497172271141226e-308,1.0,8.054584237021698e-308,6.499118005329937e-308,4.76962071855008e-308,5.293657654982877e-308,7.712597161075074e-308,theme_8,1.0
AMD,2021,3.7354947833893143e-308,4.429780616534367e-308,3.8979808619613774e-308,3.041366590974143e-308,4.51402614571528e-308,4.70569123714393e-308,4.2136391878638205e-308,5.35496620557679e-308,5.48562768023556e-308,4.126061806159407e-308,4.3143250183374866e-308,8.86905959962346e-308,1.0,7.250857154330624e-308,theme_12,1.0
AMZN,2021,0.05791682074252982,0.041998374556015225,0.03943420785288091,0.0370831103125991,0.0481209008907244,0.05939465522793847,0.20559729503311044,0.08470929777110375,0.1211148568660244,0.06414014211908062,0.055661648788263685,0.046889150465381065,0.06539852088061876,0.06653787621015943,theme_6,0.20559729503311044
AVGO,2021,0.045130983861543385,0.05280406090302061,0.04756063842539861,0.03846847107797509,0.07367885824593583,0.08402988160611838,0.05631487709687658,0.07543251900630096,0.06198970168330383,0.0509290129618913,0.05435884446488502,0.07211884060103095,0.10529835585499334,0.0877521817522272,theme_12,0.10529835585499334
BAC,2021,4.529936264742636e-308,4.532683828829897e-308,3.836676509113245e-308,3.396731196837485e-308,8.079465314068207e-308,1.0,4.950100340150675e-308,6.993143675347621e-308,4.0711886380707526e-308,4.532486604867027e-308,4.265255159518208e-308,4.335871489636135e-308,4.767456847074662e-308,4.34490393881135e-308,theme_5,1.0
BRK-B,2021,0.03446049786584198,0.0633322395953772,0.03921477460858787,0.030730279067715367,0.04890137831943388,0.060898371060106433,0.03985004630658355,0.0705075788795995,0.04722558228024615,0.03704514605137109,0.03793561751916154,0.05697527986395922,0.05636269337531511,0.047848944844937506,theme_7,0.0705075788795995
COST,2021,0.04196740612630544,0.05770872317532352,0.05204008627910361,0.03857645168693679,0.05879248297053084,0.05388200865744351,0.04387907172650072,0.056259467217592854,0.06043606630438937,0.04413318399694123,0.04943310110000196,0.09080279609202421,0.10092897709818578,0.12631685516284075,theme_13,0.12631685516284075
CRM,2021,0.07284786619329274,0.04240869063026378,0.03787836803934756,0.03277928490039383,0.04007937309044136,0.05950928178966968,0.05827205660618198,0.09809151461268568,0.07985476032423487,0.17340818676521,0.08539732266664295,0.05357039683107993,0.05366651364987548,0.05856602007456645,theme_9,0.17340818676521
CSCO,2021,0.05660502095179365,0.051043352134644886,0.04650203568944328,0.03794470551188514,0.04714152034478522,0.06514612275653406,0.044393766368940935,0.06126850054823547,0.08256141935640633,0.08465891121982226,0.0874650431548597,0.08732120047078053,0.06645681122731768,0.07879116873438302,theme_10,0.0874650431548597
CVX,2021,3.0704413557527567e-308,3.645467041863407e-308,4.1870077789668643e-308,3.6278955289892286e-308,1.0,6.202884800015401e-308,3.9889654125197943e-308,4.074811976087719e-308,3.047301823020663e-308,2.742639751820974e-308,2.8220483947507336e-308,3.546588213956221e-308,3.908087744605143e-308,3.575991762892254e-308,theme_4,1.0
