ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,best_theme,best_score
AAPL,2023,6.571199913771001e-308,5.224497199189959e-308,5.149999978722343e-308,3.0221704547285604e-308,3.932355372158729e-308,5.569138304913405e-308,6.63604387107869e-308,7.525494858617121e-308,1.0,1.2267796010160454e-307,8.241465960108615e-308,7.696668728548086e-308,8.52964918624348e-308,4.0248111153937397e-308,6.604848490070231e-308,5.181886893271932e-308,theme_8,1.0
ABBV,2023,5.69643854470785e-308,2.7489767484867313e-308,2.965896020377072e-308,1.0,6.988087386030499e-308,3.1615201897842416e-308,3.2451431109353356e-308,3.1240038741909975e-308,2.8098809936100303e-308,2.533517308921504e-308,2.729219975515333e-308,2.9015873987383435e-308,2.599493754825778e-308,3.53626832482732e-308,2.3044873226558697e-308,2.6154830713938223e-308,theme_3,1.0
ABT,2023,0.058047767406528374,0.028002310353949362,0.031504430871673095,0.18163516724089748,0.06681402571078628,0.03391181123245421,0.03336989141092078,0.03394557253568481,0.028922544102868337,0.02657125700751537,0.027365885050330226,0.028688491414307002,0.026879881574295106,0.0375722917823514,0.023939964584887775,0.02748253749534155,theme_3,0.18163516724089748
ACN,2023,0.06583733067834438,0.04932681743083595,0.051814778870873116,0.030304603890432602,0.03667646918701716,0.0546665438391297,0.05383770698448545,0.09840419571581552,0.12079557466590334,0.08618552686529195,0.06474068847795388,0.06166506928953065,0.0648748013476607,0.0390673583854234,0.05370727247247063,0.04453931393180615,theme_8,0.12079557466590334
ADBE,2023,0.028677325348782753,0.032869672158651636,0.0289390889086966,0.019591193499308636,0.02241300825684405,0.03652353179545487,0.04805005283719621,0.05186067111771118,0.04425489110228399,0.03739887172032113,0.029561888473649163,0.027913875365781906,0.02727830548644429,0.041819274636954576,0.07586935521817126,0.04110711714420783,theme_14,0.07586935521817126
AMD,2023,7.674964517029395e-308,5.867558505451769e-308,4.87585459979678e-308,3.2756955509518013e-308,4.341847403854052e-308,4.861227843933503e-308,4.661246460573255e-308,5.628453493496724e-308,8.152045170759887e-308,5.75978283680519e-308,1.336127981077562e-307,1.0,9.614601209966524e-308,3.4751065839012333e-308,4.0694992345815206e-308,3.576860666853796e-308,theme_11,1.0
AMZN,2023,0.0190627616515944,0.02352013182875843,0.023759978741597368,0.014928944852472327,0.018783116397061518,0.025044389553665978,0.040791893683204954,0.024794074075226703,0.02603487288765342,0.028494615637924377,0.02338964898450628,0.018845897743180406,0.018913552515034498,0.033270337633255334,0.061310532602681114,0.066630273919926,theme_15,0.066630273919926
AVGO,2023,8.434968205575145e-308,5.419965901746342e-308,4.894076425243441e-308,3.3590813339454e-308,4.3072805905247297e-308,5.477045828994065e-308,6.62189719065436e-308,8.196248860833127e-308,1.0,1.0074824074164564e-307,8.945436700608644e-308,8.692374379089979e-308,7.179526166973976e-308,4.10443898937158e-308,6.170859603786339e-308,4.883642355906114e-308,theme_8,1.0
BAC,2023,5.134472162523939e-308,8.600700687049512e-308,5.296995276468922e-308,3.547244979769816e-308,4.4206196471500085e-308,1.0,4.6996302621812185e-308,6.50792628859929e-308,5.280534740009194e-308,5.026221331648478e-308,5.243095254539591e-308,5.263178994129402e-308,6.482934106580941e-308,6.788328442289999e-308,5.156473169042784e-308,4.572790009692919e-308,theme_5,1.0
BRK-B,2023,5.561726532143304e-308,5.770188684826427e-308,5.381529195304574e-308,2.7802166719973606e-308,3.688250130720404e-308,6.098846944248943e-308,3.71725708930004e-308,5.267917565549196e-308,7.228687386266418e-308,6.671519759049248e-308,7.497751583797572e-308,1.136906876789944e-307,1.0,3.3780846121231913e-308,3.782614456310733e-308,3.4505207072753506e-308,theme_12,1.0
