ticker,year,cluster,is_noise,theme_label
A,2023,11,False,"A, ABT, BAX, BDX, BSX"
AAPL,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
ABBV,2023,8,False,"ABBV, ALGN, INCY, LLY, MRK"
ABNB,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
ABT,2023,11,False,"A, ABT, BAX, BDX, BSX"
ACGL,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
ACN,2023,16,False,"ACN, ADP, AON, CTSH, FIS"
ADBE,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
ADI,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
ADM,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
ADP,2023,16,False,"ACN, ADP, AON, CTSH, FIS"
ADSK,2023,19,False,"ADSK, CDNS, COHR, DELL, JBL"
AEE,2023,1,False,"AEE, AEP, AES, ATO, CEG"
AEP,2023,1,False,"AEE, AEP, AES, ATO, CEG"
AES,2023,1,False,"AEE, AEP, AES, ATO, CEG"
AFL,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
AIG,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
AIZ,2023,-1,True,noise
AJG,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
AKAM,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
ALB,2023,20,False,"ALB, AMCR, AVY, BALL, CL"
ALGN,2023,8,False,"ABBV, ALGN, INCY, LLY, MRK"
ALL,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
ALLE,2023,-1,True,noise
AMAT,2023,0,False,"AMAT, APA, C, CAH, CHD"
AMCR,2023,20,False,"ALB, AMCR, AVY, BALL, CL"
AMD,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
AME,2023,15,False,"AME, BA, DOV, GD, HII"
AMGN,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
AMP,2023,17,False,"AMP, BEN, IVZ, KKR, PRU"
AMT,2023,5,False,"AMT, CHTR, CMCSA, SATS, SBAC"
AMZN,2023,21,False,"AMZN, CAG, CASY, COST, DECK"
ANET,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
AON,2023,16,False,"ACN, ADP, AON, CTSH, FIS"
AOS,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
APA,2023,0,False,"AMAT, APA, C, CAH, CHD"
APD,2023,9,False,"APD, BKR, CF, EME, GNRC"
APH,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
APO,2023,7,False,"APO, ARES, AVB, AXON, BX"
APP,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
APTV,2023,-1,True,noise
ARE,2023,-1,True,noise
ARES,2023,7,False,"APO, ARES, AVB, AXON, BX"
ATO,2023,1,False,"AEE, AEP, AES, ATO, CEG"
AVB,2023,7,False,"APO, ARES, AVB, AXON, BX"
AVGO,2023,18,False,"ADBE, AKAM, AMD, ANET, APP"
AVY,2023,20,False,"ALB, AMCR, AVY, BALL, CL"
AWK,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
AXON,2023,7,False,"APO, ARES, AVB, AXON, BX"
AXP,2023,-1,True,noise
AZO,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
BA,2023,15,False,"AME, BA, DOV, GD, HII"
BAC,2023,4,False,"BAC, BK, CFG, FITB, HBAN"
BALL,2023,20,False,"ALB, AMCR, AVY, BALL, CL"
BAX,2023,11,False,"A, ABT, BAX, BDX, BSX"
BBY,2023,-1,True,noise
BDX,2023,11,False,"A, ABT, BAX, BDX, BSX"
BEN,2023,17,False,"AMP, BEN, IVZ, KKR, PRU"
BF-B,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
BG,2023,-1,True,noise
BIIB,2023,-1,True,noise
BK,2023,4,False,"BAC, BK, CFG, FITB, HBAN"
BKNG,2023,-1,True,noise
BKR,2023,9,False,"APD, BKR, CF, EME, GNRC"
BLDR,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
BMY,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
BR,2023,-1,True,noise
BRK-B,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
BRO,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
BSX,2023,11,False,"A, ABT, BAX, BDX, BSX"
BX,2023,7,False,"APO, ARES, AVB, AXON, BX"
BXP,2023,12,False,"BXP, CBRE, CPT, CSGP, DHI"
C,2023,0,False,"AMAT, APA, C, CAH, CHD"
CAG,2023,21,False,"AMZN, CAG, CASY, COST, DECK"
CAH,2023,0,False,"AMAT, APA, C, CAH, CHD"
CARR,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
CASY,2023,21,False,"AMZN, CAG, CASY, COST, DECK"
CAT,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
CB,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
CBOE,2023,-1,True,noise
CBRE,2023,12,False,"BXP, CBRE, CPT, CSGP, DHI"
CCI,2023,6,False,"ABNB, ACGL, ADI, AWK, BF-B"
CCL,2023,-1,True,noise
CDNS,2023,19,False,"ADSK, CDNS, COHR, DELL, JBL"
CDW,2023,-1,True,noise
CEG,2023,1,False,"AEE, AEP, AES, ATO, CEG"
CF,2023,9,False,"APD, BKR, CF, EME, GNRC"
CFG,2023,4,False,"BAC, BK, CFG, FITB, HBAN"
CHD,2023,0,False,"AMAT, APA, C, CAH, CHD"
CHRW,2023,3,False,"CHRW, CSX, EXPD, JBHT, LUV"
CHTR,2023,5,False,"AMT, CHTR, CMCSA, SATS, SBAC"
CI,2023,2,False,"ALL, AMGN, APH, AZO, BMY"
CIEN,2023,-1,True,noise
CINF,2023,13,False,"AFL, AIG, AJG, BRK-B, BRO"
CL,2023,20,False,"ALB, AMCR, AVY, BALL, CL"
CLX,2023,14,False,"AAPL, ADM, AOS, BLDR, CARR"
