ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,best_theme,best_score
AAPL,2019,0.05458728794878319,0.07016216064120025,0.04408686433011798,0.053071095443546955,0.052652109744169444,0.03061896987406009,0.033264526679192094,0.04882183822062395,0.041890145541926514,0.052757895141818154,0.054038942299171965,0.06724948525193239,0.06348872029021567,0.089796090486769,0.13766722340354373,0.07869736459804116,theme_14,0.13766722340354373
ABBV,2019,0.04043598755371269,0.033048074307100994,0.07170407420666419,0.03344108362615354,0.061578385433805824,0.23412465382178227,0.2044468630817838,0.039025066918768454,0.05089394109934655,0.03645557444122281,0.03245029435853071,0.02850375371064289,0.03627594759725905,0.03283020636991341,0.029538904772561134,0.03090971036438929,theme_5,0.23412465382178227
ABT,2019,3.894197581406431e-308,3.0875569181860534e-308,6.67706170903838e-308,2.895688667138578e-308,4.961084495399429e-308,1.0,1.189614969310162e-307,3.8829225609009795e-308,4.800842951761413e-308,3.376532764013919e-308,3.111229480903015e-308,2.7376492931228364e-308,3.1785139791550117e-308,3.318653346345379e-308,2.6726557071433307e-308,2.6882325327807043e-308,theme_5,1.0
ACN,2019,0.033276094338199176,0.04455524835752531,0.03837861538164759,0.04307219687274653,0.04494720409578716,0.022181069843898553,0.02731469114553248,0.05592673041370321,0.03940311873142907,0.04599111993019775,0.054563724733839525,0.05637150667122678,0.040155377136741485,0.04914376288674248,0.04887113610669088,0.04906373313834403,theme_11,0.05637150667122678
ADBE,2019,5.49250918386829e-308,7.432551819090793e-308,5.983875396236754e-308,4.255757186844642e-308,5.165000744762285e-308,3.505725561401885e-308,3.897215330977208e-308,5.304722599106161e-308,4.484912352779452e-308,7.606797749737871e-308,8.127584757072793e-308,1.0152699018572748e-307,5.605791995934776e-308,1.0,6.787938273387946e-308,5.511854355798282e-308,theme_13,1.0
AMD,2019,6.029075714409508e-308,7.04660553330592e-308,4.273502909044074e-308,7.033346477396407e-308,7.722245832558852e-308,3.441651429787307e-308,4.0560288886581275e-308,4.3392653662652894e-308,4.247557337981302e-308,6.23010310759206e-308,6.663851833342229e-308,5.43459689011183e-308,1.0,5.515949065559228e-308,7.643314199890643e-308,6.998175874438976e-308,theme_12,1.0
AMZN,2019,0.03773006742624131,0.05602509639772713,0.0733535014737504,0.031914412875519424,0.0444007196484613,0.03274203349658533,0.03766895694151784,0.055044572637032836,0.04767891756495185,0.08139101939012076,0.062378522154099794,0.058866783526480115,0.04006704817431065,0.10743979604708254,0.04369961539209839,0.03783617646811171,theme_13,0.10743979604708254
AVGO,2019,0.037142883346518635,0.06721819880853735,0.04144563813729867,0.03469914312119374,0.05017844737158411,0.02421098034483191,0.030598248747031084,0.049677684255739776,0.042094706315721715,0.05600219307740176,0.052841834458282756,0.0511469974680516,0.04467702892764677,0.050554623585368254,0.04973548428371558,0.039122232173520115,theme_1,0.06721819880853735
BAC,2019,4.332090374687592e-308,5.336128950487085e-308,8.001498736732894e-308,4.662141440515412e-308,5.151410318853921e-308,3.89470782408564e-308,4.561919408035419e-308,1.0,1.442127380578105e-307,5.319597657710043e-308,5.275308001974341e-308,4.788681651021807e-308,4.2341408095090096e-308,5.420998098954714e-308,4.797882394208909e-308,4.2194515463191684e-308,theme_7,1.0
BRK-B,2019,0.035685003117425354,0.05985554022289669,0.044391315773916445,0.03059972709534174,0.0403019976383071,0.02755224923225266,0.031731228518013396,0.06954804603794101,0.05453191350388164,0.03612897240803513,0.03960513473849266,0.03391717762090787,0.0333095458149334,0.04203431709681717,0.03845497950496519,0.029407352567808798,theme_7,0.06954804603794101
