ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,best_theme,best_score
A,2023,0.0018394699748439786,0.008947374559387525,0.05859928653341283,0.06702060226086104,0.02781058874921726,0.07531443678198008,0.04722367680274293,0.021233385742724768,0.03747599247916456,0.10091482245610867,0.11173645449547986,0.065894830660923,0.056763567956805074,0.07603716014384489,0.034646929001171105,0.020415807783331,0.022448918937982825,0.01804184564807947,0.015999592704065275,0.017026621855853897,theme_10,0.11173645449547986
AAPL,2023,2.96733192975646e-309,1.1226192436672184e-308,4.633664273941664e-308,4.929844529730968e-308,4.180111552009995e-308,4.889722750750332e-308,6.274119971255112e-308,2.4988640804188505e-308,3.6408628315563745e-308,3.4594937627891604e-308,3.1176013010054187e-308,2.5964456890859543e-308,2.810378907627861e-308,2.7924692385453983e-308,9.253222891158034e-308,1.4762634339797378e-307,1.0,8.303756836084155e-308,5.603228934694552e-308,6.096593096296008e-308,theme_16,1.0
ABBV,2023,0.0018118649256072517,0.009092625101760104,0.06078801804101352,0.06752918811809877,0.029021198486046434,0.05427774903047917,0.03893924808018977,0.022703294777538845,0.04188289732883526,0.08639227358431074,0.08909052959696066,0.05512744715073551,0.0861207761079697,0.11063400097718679,0.03448872439335162,0.019379738973393394,0.021387520239007852,0.017922342800280048,0.015646893484153816,0.016843433288545054,theme_13,0.11063400097718679
ABNB,2023,0.0020603531750716213,0.00829606796089332,0.041824322777240214,0.044149610311307506,0.03637913558837675,0.04199883107297471,0.05454456998987452,0.020053053377169335,0.0314510990562602,0.02877090510822708,0.025286635351762746,0.020242412721586445,0.02224878863474513,0.022103942470139578,0.07804032449151878,0.06096575454671044,0.1348171124069309,0.044233268788810925,0.03297220359308759,0.036686852951305866,theme_16,0.1348171124069309
ABT,2023,3.12433828212191e-309,1.6678823761706775e-308,8.328040667962555e-308,8.016121535507287e-308,4.0642389985757555e-308,6.316874759169906e-308,4.827155462691815e-308,3.576591685058327e-308,5.908064157636391e-308,1.864348242255074e-307,1.0673887337058395e-307,9.709708404093244e-308,2.743422909574783e-307,1.0,4.47132954126681e-308,2.739904689234345e-308,2.976363816386561e-308,2.595248956948211e-308,2.286215818903477e-308,2.452846609321728e-308,theme_13,1.0
ACGL,2023,0.0017643565024273579,0.006679021645817052,0.03163811815773071,0.0355866615674934,0.028816758514434652,0.03586147118227761,0.045983061075890605,0.016938892662706505,0.025795036460681868,0.02377185425358353,0.02103697146121261,0.017568411569669488,0.019645569889532317,0.019384562128421483,0.07821708601701562,0.07524755684984999,0.1437921396376247,0.06376803179244235,0.03830227845115648,0.04476416796738607,theme_16,0.1437921396376247
ACN,2023,0.00173929453620829,0.0064827726367239205,0.025427909025153496,0.03033741185943891,0.031131469227737033,0.03573602767048175,0.054307447910358325,0.016728989472918412,0.025106685346666928,0.02159020377569203,0.019231792434358505,0.016252466686353852,0.01774781427959291,0.018272572130666267,0.07453725451616548,0.11568380752006976,0.058249247439330014,0.06890267785077606,0.057588151968221035,0.070911959368983,theme_15,0.11568380752006976
ADBE,2023,0.0018504781086630818,0.008361481291249974,0.055850429580348755,0.06843619324891648,0.03067349472992716,0.10146652423220304,0.08816649155341688,0.020738203158255582,0.0373273485286674,0.05077772831145549,0.05912763957036299,0.04057010102369506,0.0363329164552576,0.041568138334399506,0.04741475591944454,0.026411436935792558,0.029823643949577545,0.02202413633691827,0.019313858661553048,0.02057254852922684,theme_5,0.10146652423220304
ADI,2023,3.167817442924176e-309,1.4673879873617854e-308,5.345194614476053e-308,5.533602188170939e-308,1.0,5.634379229798554e-308,6.092240348763574e-308,6.729385717986593e-308,1.10352454410788e-307,4.839732734014495e-308,4.3583329454153883e-308,3.412661426489053e-308,3.8067479479075375e-308,3.8797698092503844e-308,6.14897716761995e-308,3.717700055200419e-308,4.187096695483445e-308,3.4573577949198176e-308,3.002515568715724e-308,3.277986526722764e-308,theme_4,1.0
ADM,2023,3.15753007450441e-309,1.7920057361832465e-308,8.448066931793255e-308,7.357931251444175e-308,3.8515334475992823e-308,6.124292074522055e-308,4.580275456914551e-308,3.5304930410478326e-308,5.401519328692692e-308,1.8609635910611827e-307,1.0433215226618651e-307,1.4880597579319319e-307,1.2467231391249325e-307,1.0,4.081593174359169e-308,2.6267889407234373e-308,2.843530677345481e-308,2.451739663664119e-308,2.1892719455761023e-308,2.3326144705536865e-308,theme_13,1.0
ADP,2023,0.0020260608278442715,0.010094138889421662,0.06406008297499191,0.05524846667433354,0.027633315470654143,0.053608254858292965,0.03938943647715978,0.022382851831657453,0.03570755319847047,0.0967740786746937,0.2292975609509441,0.09426689190054556,0.0678626054112079,0.07667948681112981,0.0319451134992819,0.01958909261638481,0.021814255728953666,0.017708077644447665,0.015722591460016613,0.016702993212463723,theme_10,0.2292975609509441
ADSK,2023,0.001812842313601806,0.008072470531958907,0.05078587672795912,0.09656862803107849,0.039914297203446664,0.12769378817610305,0.1604625976551823,0.02296760455402092,0.05647520063168726,0.04841397284547763,0.03750435675883285,0.02864119429706943,0.03228857768000187,0.03698380901180178,0.09130892648606864,0.032934609331237305,0.03670997173913807,0.0279106180047702,0.023277813385380722,0.025696592492260518,theme_6,0.1604625976551823
AEE,2023,0.003203424062457709,0.5909081150401391,0.0146534735829522,0.01326580089425169,0.012921959635384617,0.012635004672064694,0.011575271550762866,0.016425540249066208,0.01648794567758729,0.01475517650376517,0.014350300250102725,0.016051285829200526,0.01451508584972677,0.016791896898151904,0.011191136002339437,0.009303240853004187,0.009929513436910606,0.009127951154279342,0.008514638517127505,0.0088650367294585,theme_1,0.5909081150401391
AEP,2023,0.0020506838156994856,0.012395815940744064,0.029994431637967656,0.02701394318808911,0.03592875265949836,0.02384488000088512,0.022103013517467685,0.05871138585927383,0.1605095526348217,0.029063563967529092,0.027119576680871327,0.024863165683284325,0.02369877024531784,0.026209329447606677,0.02056308489750132,0.014169923990861954,0.015861759101207722,0.013598303833253167,0.012039669101169227,0.01293946859490433,theme_8,0.1605095526348217
AES,2023,3.324849642403913e-309,1.8325619383219304e-308,3.2036340816394624e-308,3.069057392211333e-308,5.970536803647589e-308,2.8928484608738073e-308,2.9200727235890173e-308,1.0,9.651209430225042e-308,3.230355373182884e-308,3.05561843637815e-308,2.7678526461258314e-308,2.8372794448064484e-308,2.876764171825539e-308,2.8431003124475185e-308,2.105699412519333e-308,2.303434515227711e-308,2.0479070401220723e-308,1.853069454591633e-308,1.9709503854647577e-308,theme_7,1.0
AFL,2023,2.94930809169784e-309,1.080821107495339e-308,4.0516642677986966e-308,4.251216873432625e-308,3.8388752568546946e-308,4.193325813969738e-308,5.228418813337262e-308,2.351717712296289e-308,3.260363891373738e-308,3.087964506140307e-308,2.793599023993106e-308,2.3700140174815116e-308,2.573112732796999e-308,2.5365117497174155e-308,7.307643627755119e-308,1.63824337299961e-307,1.0,1.069676557744911e-307,6.160974067535727e-308,6.659743544692191e-308,theme_16,1.0
