ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,best_theme,best_score
A,2023,0.0038226937181703342,0.018262484509233862,0.01586376117450932,0.04366680423380629,0.0219640734470571,0.03719729878808709,0.01176895633104423,0.01201943682777072,0.104068176221914,0.04852596984251009,0.07509191569583133,0.1825697137580113,0.04129518777312313,0.02001353073796835,0.06510373342007168,0.04932773145616793,0.028860199796218008,0.02562235876663473,0.03614293891779395,0.05346466397659462,0.04783838551209739,0.030006576670829194,theme_11,0.1825697137580113
AAPL,2023,4.759115860277673e-309,2.67484772823556e-308,2.422663388930875e-308,7.001848586383023e-308,3.890714082900013e-308,6.434550964254727e-308,1.6988562264219887e-308,1.7210235939971156e-308,5.666741270179104e-308,9.572143176320935e-308,6.00929551609898e-308,6.352499828045672e-308,1.0007046869661417e-307,3.075774410149029e-308,1.0,6.34214646935425e-308,4.478212413264631e-308,4.3602177973351496e-308,5.327945495499598e-308,6.571028682434591e-308,1.0233177540001816e-307,5.904283511954769e-308,theme_14,1.0
ABBV,2023,4.640989513913625e-309,2.073643529149458e-308,1.9426670260430386e-308,3.601093419048674e-308,2.4445131189403013e-308,3.1833485668143965e-308,1.495203309569253e-308,1.5175183844135474e-308,1.0,4.216717115840472e-308,1.617948066846186e-307,2.3142354946320143e-307,4.596629131661529e-308,2.0794216027156356e-308,5.143583450905653e-308,3.78316244907817e-308,2.6819655353046466e-308,2.5753481529000113e-308,2.967766589060708e-308,3.740394866601562e-308,5.000702721618403e-308,3.074830011840928e-308,theme_8,1.0
ABNB,2023,0.005256445271499656,0.028271283305096085,0.030288418397483995,0.018912758108166283,0.026996597246516648,0.017104487691547512,0.2502429366690931,0.1634328284320817,0.018439022075752765,0.021262168607290632,0.019754877323047943,0.018315331793117205,0.024069362614125227,0.020415688784974108,0.02111005237889756,0.016646640478570788,0.019415272495293533,0.022542895387152595,0.01665262279774453,0.01766816581838787,0.020341577957707222,0.02249476635520843,theme_6,0.2502429366690931
ABT,2023,4.621831678466317e-309,2.0367165485230546e-308,1.8791630973084086e-308,4.0342356311896536e-308,2.5785808169537616e-308,3.7053787918060495e-308,1.4605566681577874e-308,1.483455987815519e-308,3.2744367867278466e-307,4.596424486788041e-308,1.632640460354425e-307,1.0,4.942728283020897e-308,2.2862300839265767e-308,5.682840817060196e-308,4.262043451649147e-308,3.0453421444940295e-308,2.842919290224462e-308,3.476013359694658e-308,4.403685984296086e-308,5.461346836446093e-308,3.388426673947154e-308,theme_11,1.0
ACGL,2023,0.005342012035869296,0.0296803716763463,0.031855495074545465,0.019618441033289028,0.028399172376862358,0.01767056906828177,0.22175569683411941,0.1748500841690404,0.01927193967108017,0.022126754036561492,0.020700551257577457,0.01915203222651814,0.02516688164580399,0.021317393367976414,0.021888255065823117,0.017310839956026534,0.020225606332607404,0.023571889431979378,0.017240657170873575,0.018377516200124035,0.020985219494830367,0.023126821862619072,theme_6,0.22175569683411941
ACN,2023,4.710471532713853e-309,2.0799679448384266e-308,2.128972849154482e-308,3.856640635448707e-308,5.274961103945758e-308,4.951693555452261e-308,1.591507174620283e-308,1.6204606465608663e-308,2.762268531867383e-308,3.507048403746489e-308,3.1009027904928165e-308,3.173163664782249e-308,5.669620671261794e-308,8.405248011996196e-308,3.7321521611869934e-308,3.4266233602959536e-308,1.0,1.574702841110084e-307,5.956176969533513e-308,5.520893754305969e-308,3.175125861246913e-308,2.8851035340548796e-308,theme_16,1.0
ADBE,2023,0.003440779503563859,0.015083370598082162,0.013466646198033954,0.04379228731400237,0.02382263819659629,0.06876413937629662,0.010075796723138568,0.010257829795921432,0.022414562450440715,0.03399513260933824,0.023072144967126257,0.026178528084356462,0.03362649009381619,0.029054988776438893,0.03383457061715528,0.03769536850418267,0.06753525009041329,0.03957217812066963,0.2956443746474739,0.1020543913089878,0.029632118603161766,0.02599143040045317,theme_18,0.2956443746474739
ADI,2023,0.005194129322125515,0.024572194415684475,0.026266051145486104,0.01652178148502329,0.023741017059056232,0.015176430934945567,0.2308521493542852,0.24634180737527342,0.016292866837666148,0.018297275635934345,0.017391602433285042,0.01621518639108876,0.02051157075121562,0.01897752511183909,0.01803137704309171,0.014847666866984884,0.017489861314948063,0.020104015238580603,0.014901782400448614,0.015720056353298865,0.017399565676344736,0.01907495458401204,theme_7,0.24634180737527342
ADM,2023,4.756191778714443e-309,2.753789815690591e-308,2.3872894524476904e-308,8.064103059448377e-308,3.55221325914458e-308,5.973399368290468e-308,1.6423396467147146e-308,1.6673711565888253e-308,6.212729285283357e-308,1.2540166224840026e-307,6.103374359504389e-308,6.984801784156267e-308,7.926647023849553e-308,2.891509497713435e-308,1.0,7.503408447708939e-308,4.1957264477932714e-308,3.9922071780096625e-308,5.251843193849088e-308,6.900937452391076e-308,1.2574204519492867e-307,6.12731329324785e-308,theme_14,1.0
