ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,best_theme,best_score
AAPL,2019,0.011211213961417126,0.036753354529188396,0.011945753752717461,0.010626761894312562,0.010782084499721657,0.036930946872594794,0.03041275401304102,0.0462294596378078,0.055127297679632294,0.05289287672922414,0.08576684114965721,0.06302596803371133,0.06105690238879039,0.07684562678175431,0.054802861384406584,0.055625516499521487,theme_10,0.08576684114965721
ABBV,2019,1.4173759112150675e-308,3.6626374285831335e-308,1.516429342133977e-308,1.3711813329812995e-308,1.3929922711874807e-308,1.0,1.3578198401450363e-307,5.830123677824345e-308,3.1428057319318196e-308,3.783270263299654e-308,3.3332210734310283e-308,8.584193535146212e-308,6.69577232075474e-308,2.901642378160241e-308,3.187135532703291e-308,3.6170677866334386e-308,theme_5,1.0
ABT,2019,0.011912026665305898,0.032018738108807725,0.012704214298707977,0.011566655498863867,0.011701524876872992,0.14713186787376256,0.17674538889239788,0.04692258141353033,0.027436123507543413,0.03131904063189815,0.03141434293431,0.05792348299347461,0.07208232392155399,0.0284137024796556,0.034381967076123,0.04020692664565624,theme_6,0.17674538889239788
ACN,2019,0.013008893892410328,0.0459903568082845,0.013930331322662158,0.01238079722907784,0.012456096322954061,0.03268638869472975,0.031175113488838717,0.04057935628529402,0.05933308267525144,0.04457484042016633,0.07430955981989015,0.04827123719142401,0.050998113320417655,0.08453856953440807,0.08403192835179592,0.09040433684089327,theme_15,0.09040433684089327
ADBE,2019,0.014384966621903857,0.03871369202948317,0.015192990333823923,0.013577734723914906,0.013739652318508436,0.030451930080654752,0.02775771336883697,0.038399824908070535,0.06682436125777198,0.04578095155184569,0.09386107316893752,0.04662120818591957,0.04832834702099029,0.15896163479349654,0.09222498147664308,0.07403445375801522,theme_13,0.15896163479349654
AMD,2019,1.244077484750482e-308,3.1778504209507165e-308,1.3163455937398336e-308,1.1930958955149697e-308,1.2039610183799683e-308,3.331736862954947e-308,3.2176070642360023e-308,3.7992686424732525e-308,4.240002363924929e-308,3.4849348555166563e-308,5.905044158813059e-308,4.1936048796269713e-308,5.35096489341164e-308,8.038944426043338e-308,1.0,1.8371468568395447e-307,theme_14,1.0
AMZN,2019,0.01865362463734021,0.0503191311025731,0.020001078164461034,0.01753128120583937,0.017824730212432926,0.03772614153985458,0.03249875288880099,0.05133613921306449,0.19058838007841727,0.10044802563695657,0.1008754921600605,0.058899672640571124,0.05130406473793503,0.09421595025678937,0.05361267732610895,0.052555547346781105,theme_8,0.19058838007841727
AVGO,2019,1.2655938652296487e-308,3.6252102834972864e-308,1.343911503142408e-308,1.215358042341097e-308,1.2239256300520793e-308,3.8355035480052914e-308,3.7602766878628616e-308,4.297460235132674e-308,4.0814772289919797e-308,3.682500652116195e-308,6.401059160913968e-308,4.964288843996913e-308,6.709639325090674e-308,6.981809181805166e-308,1.8704812154567338e-307,1.0,theme_15,1.0
BAC,2019,1.7505410375242703e-308,1.0,1.9105929210394314e-308,1.650052408839008e-308,1.657991743019446e-308,3.724286930672531e-308,3.3917442827276546e-308,3.9935078302766414e-308,4.1532190359284834e-308,4.950851274689139e-308,4.546413257604668e-308,5.260598744416403e-308,4.0291725503338003e-308,3.5136186055069e-308,3.0892566144634617e-308,3.4784819847078073e-308,theme_1,1.0
BRK-B,2019,0.02154625259497031,0.19094685021060465,0.02351832813170031,0.020520324909760013,0.020638708233397324,0.0644087635579122,0.057029236176768326,0.05582919634714229,0.04654238944517787,0.0578583522277368,0.04899126873648296,0.08176356852152927,0.05485801932113013,0.039444924926562375,0.03735808254671708,0.042656753944372634,theme_1,0.19094685021060465
COST,2019,2.0417115906993493e-308,5.250403187948476e-308,2.2256250229676154e-308,1.905366999602985e-308,1.944523603971484e-308,4.088184014798287e-308,3.240489474866673e-308,7.594726338160377e-308,1.3480822875679165e-307,1.0,7.251099943273036e-308,7.018639337627043e-308,5.110376275431098e-308,4.576277633324847e-308,3.60327628101699e-308,3.7531797943099225e-308,theme_9,1.0
CRM,2019,1.4210860472192356e-308,3.634471061789565e-308,1.5005348244180227e-308,1.345877176471141e-308,1.362337429383737e-308,3.0517854024681773e-308,2.777505193988312e-308,3.6674554674707464e-308,6.113182551592706e-308,4.453195064164295e-308,9.726126195757476e-308,4.663088972745706e-308,4.710144244655923e-308,1.0,8.379961138748981e-308,6.913117304289307e-308,theme_13,1.0
CSCO,2019,1.2995532526586704e-307,1.5953412050195464e-308,1.2090904239092206e-307,1.0,1.8501102995576775e-307,1.318080652992265e-308,1.2397521591638463e-308,1.601566125685517e-308,1.7238786942546933e-308,2.0080546181397264e-308,1.425899115212497e-308,1.460832862250747e-308,1.291698090559001e-308,1.2798076287499296e-308,1.1389842287620057e-308,1.1587691185912123e-308,theme_3,1.0
CVX,2019,1.630541256768054e-308,3.9460297023559203e-308,1.763978999631952e-308,1.5636622787324535e-308,1.5818480231002696e-308,5.826701379110478e-308,4.1898517957293393e-308,1.0,4.434948590615101e-308,6.266820901940547e-308,4.928894528709438e-308,9.186197007279085e-308,8.647437030148779e-308,3.4750956922789347e-308,3.622965628581841e-308,4.1475594631112003e-308,theme_7,1.0
DIS,2019,1.81619078914296e-308,4.396263310104924e-308,1.9539320924513534e-308,1.7006096579990036e-308,1.734261240248008e-308,3.2499203595729686e-308,2.831845698669336e-308,4.4216472437474985e-308,1.0,8.786161151448849e-308,6.871999743881958e-308,4.498189906038491e-308,4.0376486857128907e-308,6.269383583968899e-308,4.477545527933052e-308,4.1513633536252463e-308,theme_8,1.0
GE,2019,1.4801095589604132e-307,1.9332592782092223e-308,1.0,1.2740532028521698e-307,1.0878902854794876e-307,1.5203288704242457e-308,1.4175158103570835e-308,1.9405845637107684e-308,2.132295669162521e-308,2.587275616111875e-308,1.703028174690884e-308,1.737679227878327e-308,1.511128128469691e-308,1.4950903348091094e-308,1.312144283784518e-308,1.338170495994245e-308,theme_2,1.0
GOOGL,2019,0.013498401713391141,0.038308950029572034,0.014326039117388431,0.012791147661036676,0.012998788298696766,0.033732785944383566,0.030883482097785537,0.03940796149151563,0.08062471411271158,0.04801097183450753,0.06722027117913618,0.045517833344280015,0.04672314855284474,0.11637527183848491,0.0861521579344745,0.06819068312478557,theme_13,0.11637527183848491
GS,2019,0.02315487025753747,0.20997362117327598,0.02564989106685153,0.021750468160702526,0.02165881992818993,0.03820547391917047,0.03501574735156381,0.048646969728673134,0.049992616158883126,0.061067590310765626,0.05257355642510302,0.05569950063790091,0.043646027495672556,0.038452158473475516,0.0336816750205665,0.03710918473690753,theme_1,0.20997362117327598
HD,2019,1.5452486658223754e-308,4.447967486806613e-308,1.642464217158841e-308,1.4593049890693607e-308,1.47212401020686e-308,3.6366711540854115e-308,3.117547712019483e-308,5.249903646672587e-308,6.244528498591153e-308,6.302263145895416e-308,1.0,7.469020054939561e-308,6.933902298974934e-308,1.0131561733349932e-307,6.193863459270061e-308,6.8110451096732175e-308,theme_10,1.0
IBM,2019,0.012742435018102188,0.03466417473429972,0.013497534895131573,0.012164203931176393,0.01224703000415331,0.02924027224545424,0.028334289713849117,0.03485918366412232,0.047775575096532984,0.03610681249762574,0.06540117290121292,0.040238755472115584,0.04534844079093665,0.1161788380856404,0.1559847230480375,0.10892793672224155,theme_14,0.1559847230480375
INTU,2019,0.013995548063398134,0.049404434073411406,0.014918156238932197,0.0132476161604752,0.013354346395498793,0.035504996433048275,0.031895902313568585,0.04254685930181271,0.05630344744997172,0.051327192842315426,0.12919460360607718,0.06441142738697267,0.05800856720989748,0.11071943792886456,0.06152889939247201,0.06858448500419817,theme_10,0.12919460360607718
JNJ,2019,0.013251249320595043,0.03873210065567522,0.01421533586604634,0.012827274364889707,0.012962592028906308,0.1744253445940474,0.1631436526914096,0.049379361917016015,0.028141245422024477,0.033845994832417445,0.031455704488374515,0.07328039401107367,0.06015190782278525,0.027139207987037686,0.02990894169962665,0.03521784278862893,theme_5,0.1744253445940474
JPM,2019,1.763145263252233e-308,1.0,1.9360469841561705e-308,1.6689906602385377e-308,1.6633932569771256e-308,3.469007913756323e-308,3.233168459819067e-308,3.649605178393488e-308,3.5863348975287153e-308,4.223164226904838e-308,3.8257953812679954e-308,4.453529190289002e-308,3.572596063826942e-308,3.0383792838022934e-308,2.7742305844306717e-308,3.1091341880570606e-308,theme_1,1.0
KO,2019,1.0,1.772155176996105e-308,1.7784512044223898e-307,1.7604132177029372e-307,1.7002567025276108e-307,1.428274051652578e-308,1.332939508429458e-308,1.7916582531572427e-308,1.989152101310348e-308,2.3598092596824466e-308,1.614509096409894e-308,1.62304198847322e-308,1.4237084615951275e-308,1.4252175870081254e-308,1.2482412821758995e-308,1.2684535916850453e-308,theme_0,1.0
LIN,2019,1.3739410665703203e-308,3.9212481156219186e-308,1.4704923983593067e-308,1.325952818123007e-308,1.33776322966695e-308,7.389108398498397e-308,5.848761245893264e-308,9.298428264866832e-308,3.8469254161161347e-308,4.544399997835335e-308,5.424366616998421e-308,8.327912111337422e-308,1.0,4.3896965122573643e-308,5.690705341103421e-308,7.360346338910834e-308,theme_12,1.0
LLY,2019,1.4202962294425106e-308,3.6819081125123683e-308,1.5217537235159103e-308,1.3768250412931083e-308,1.39653180737911e-308,1.0,1.8376270905321727e-307,4.79165517447415e-308,2.930044440900915e-308,3.4898786966975117e-308,3.022146460408519e-308,7.127474686493816e-308,5.196539160063141e-308,2.689293821401326e-308,2.8798599930458316e-308,3.2416434755900936e-308,theme_5,1.0
MA,2019,1.0,1.744628702032487e-308,1.5399765413790953e-307,1.5794658121593954e-307,1.6659295998199796e-307,1.3967248756214587e-308,1.305927691727794e-308,1.7055759657171237e-308,1.8815027093728005e-308,2.210618602610415e-308,1.54282909787266e-308,1.5679541924370433e-308,1.3716664072065727e-308,1.369024051253463e-308,1.2059213515487625e-308,1.2258678161657504e-308,theme_0,1.0
MCD,2019,1.4990020751569902e-307,1.8526325430507853e-308,1.0,1.7926137706337395e-307,1.1775866444178425e-307,1.4687130076489223e-308,1.374335786693663e-308,1.86351150632504e-308,2.039666418528882e-308,2.4435678851256974e-308,1.6412852058181987e-308,1.668795504393678e-308,1.462769417696504e-308,1.4521751598561937e-308,1.278106761131416e-308,1.3033690764146066e-308,theme_2,1.0
META,2019,0.012307375287938427,0.04055482868039553,0.013110526866098473,0.011739808323495037,0.011942632238927432,0.04641379182249502,0.04229400189524786,0.04533399020174526,0.05510740669881513,0.04612870924893229,0.053133483060049,0.05666483424563244,0.054294063106869274,0.061634500482835634,0.06647545148502002,0.06528818822253027,theme_14,0.06647545148502002
MRK,2019,1.325130804367377e-308,3.3156735390443574e-308,1.418455328796388e-308,1.2909451958222033e-308,1.303963884792807e-308,1.8135380015920868e-307,1.0,4.156383549970236e-308,2.5614118783824276e-308,2.9730998527136714e-308,2.7371477881417586e-308,5.325673826219483e-308,4.991704933534947e-308,2.47023493647394e-308,2.7848366284031583e-308,3.1767558676362154e-308,theme_6,1.0
MS,2019,1.6153740646559804e-308,4.864846920419512e-308,1.715117526942538e-308,1.5128131131258745e-308,1.531894251575451e-308,3.613779958449468e-308,3.0274848806584853e-308,5.403827164408704e-308,6.95296591627852e-308,7.321628503471025e-308,1.0,7.546451713943537e-308,6.480356768166601e-308,7.814545838047085e-308,5.354619637151452e-308,5.564768446273667e-308,theme_10,1.0
MSFT,2019,0.012908817209099884,0.03390995304965913,0.01361494504045067,0.0122734937996408,0.012417190322439164,0.029812040918532623,0.02853417326650117,0.0333925504914102,0.051538309324755296,0.036621674815696476,0.061446986641582,0.039534632399944133,0.0428359142351365,0.141972739953456,0.13858235424168366,0.08327632279495724,theme_13,0.141972739953456
NEE,2019,1.4484332015780879e-307,1.666350771794802e-308,1.7460478021343508e-307,1.0,1.98844168060838e-307,1.375340512355743e-308,1.289906894608399e-308,1.7040868033712255e-308,1.841057153800682e-308,2.1671993241244347e-308,1.5019363847249986e-308,1.537951722865586e-308,1.3553700712417133e-308,1.3408033717306703e-308,1.189119033081233e-308,1.209994310665272e-308,theme_3,1.0
NFLX,2019,1.9877361674169243e-308,4.3881349323030216e-308,2.144754631467362e-308,1.852077477175507e-308,1.898887979695447e-308,3.3892481358258357e-308,2.842824843327772e-308,5.02126619844837e-308,1.0,1.3449676323620791e-307,6.78910493740643e-308,4.96049238296822e-308,4.136473928996533e-308,5.400070856242841e-308,3.7861750391695443e-308,3.725703145271318e-308,theme_8,1.0
NVDA,2019,1.238036170495301e-308,2.9376312703173117e-308,1.306104163233935e-308,1.185915419696149e-308,1.1976524783713464e-308,2.8721993164170927e-308,2.7830153823105434e-308,3.302385828707705e-308,4.3393060264671584e-308,3.2853981370804873e-308,5.395009169363988e-308,3.6214740618336623e-308,4.241392373571013e-308,1.0486701594409588e-307,1.0,1.0344000083787728e-307,theme_14,1.0
ORCL,2019,1.3488753975284345e-308,3.175774877377231e-308,1.4191337520614394e-308,1.2806234529912827e-308,1.294648519300282e-308,2.69155076257152e-308,2.523718949839681e-308,3.200941360349808e-308,5.32337408182127e-308,3.723502469457701e-308,6.97426595590721e-308,3.811421286768202e-308,3.991636758121062e-308,1.0,1.0565000859671558e-307,6.558990786419818e-308,theme_13,1.0
PEP,2019,1.57284678684076e-307,1.663961406209262e-308,1.2987391150258137e-307,2.259221298739005e-307,1.0,1.3977133173161815e-308,1.3054249634673214e-308,1.727157802047384e-308,1.8912252508105984e-308,2.2162585163501007e-308,1.5238100595654866e-308,1.5638379443265614e-308,1.3696958018723514e-308,1.359815996006639e-308,1.202259441506566e-308,1.2208713724851065e-308,theme_4,1.0
PG,2019,1.6219607931096806e-308,5.775701516629265e-308,1.74004325466718e-308,1.5397259205315905e-308,1.5556781275999857e-308,6.281011110758315e-308,4.639126607430559e-308,9.258543081161484e-308,5.159016789912494e-308,7.284704047534922e-308,7.773507844545361e-308,1.0,1.2614331730923524e-307,5.006556226816048e-308,4.534094833923702e-308,5.3397221187374e-308,theme_11,1.0
PM,2019,1.6297314915033876e-308,5.727531336130908e-308,1.7562864649526877e-308,1.5546410738522935e-308,1.577768892985288e-308,9.625618449180099e-308,6.023400731803874e-308,1.0359319877143098e-307,5.035076651201359e-308,7.024683721966107e-308,5.978973954675076e-308,1.0,1.023025377759604e-307,4.455694652791752e-308,4.324192995374841e-308,4.923450860008853e-308,theme_11,1.0
QCOM,2019,0.10590899597821658,0.013162121623751038,0.10027749751317169,0.1621853443478988,0.12192752478026621,0.010721131010460126,0.010085799830500768,0.012901987391021424,0.014226307820609832,0.0163368720260484,0.01165275101020365,0.011884895313214216,0.010488134422845647,0.010559204112271868,0.009338765571853437,0.009507002689432087,theme_3,0.1621853443478988
RTX,2019,1.426432869533508e-308,4.357623383579429e-308,1.5239510019414664e-308,1.367065412340919e-308,1.378858614772584e-308,6.507497688776711e-308,4.899178544274205e-308,9.59287810628959e-308,4.2334851620592393e-308,5.219602867106796e-308,7.020589139845167e-308,1.2397682741988448e-307,1.0,4.973681052420012e-308,5.617330556655297e-308,7.589517428637224e-308,theme_12,1.0
SPGI,2019,0.014924856912493834,0.11676259785041981,0.016148412393991066,0.014071798228946174,0.014127267358243484,0.03159354708496229,0.029163752364406288,0.036677458837749054,0.04638187306784783,0.04699975471683848,0.055636333824329226,0.05000282254914852,0.04075698416135353,0.0437372214027658,0.035863423576556745,0.04074091514754403,theme_1,0.11676259785041981
TMO,2019,0.013904391764589024,0.040673391323215256,0.014812454415861827,0.013444081550365427,0.013551360702971547,0.07167006904142535,0.07176218225019174,0.06222469654152271,0.03825555530700516,0.041020622570240334,0.05389379278995059,0.06970590484020343,0.1647010040561932,0.04883983611124135,0.07139102506482076,0.09664577565139144,theme_12,0.1647010040561932
TSLA,2019,1.2406076788338877e-308,3.237524287948113e-308,1.314251810061053e-308,1.192641727351514e-308,1.2009698034782766e-308,3.7499966762987747e-308,3.5217648985354563e-308,4.4147091866297096e-308,3.823016693456202e-308,3.602141717826456e-308,6.599187744277836e-308,5.020083631833e-308,7.255933261056366e-308,6.670766276005664e-308,1.5088664882384991e-307,1.0,theme_15,1.0
TXN,2019,0.011260917820028008,0.034191532296514476,0.01198681677691425,0.01080623443048116,0.010892657916634444,0.043212941191348206,0.03844662779160861,0.04981028313532417,0.035335173270643415,0.03659808500081009,0.06098467360532087,0.06100666819698342,0.10828654206420064,0.0532438137632497,0.08101436855531333,0.13426855928041945,theme_15,0.13426855928041945
UNH,2019,1.299370191349035e-308,3.327990848657013e-308,1.389361025946552e-308,1.2645819121438927e-308,1.2774732745827083e-308,1.2804549618512981e-307,1.0,4.046910178256231e-308,2.613522370984324e-308,2.9630517386338607e-308,2.8329254438136206e-308,5.104997719878555e-308,5.254537337507315e-308,2.6182235385340533e-308,3.051580240439748e-308,3.515734011562724e-308,theme_6,1.0
V,2019,1.5609357896641634e-307,1.5757406568270377e-308,1.066950682818015e-307,2.102052393358733e-307,1.0,1.321712527317622e-308,1.2377821294332406e-308,1.6153794892862874e-308,1.755551647761468e-308,2.045016211423635e-308,1.447244138957056e-308,1.4731444982284553e-308,1.300111435835262e-308,1.291134366753422e-308,1.144257107658648e-308,1.16061582409008e-308,theme_4,1.0
WFC,2019,0.024350322625126396,0.3205219417386309,0.026724860488183743,0.02302265324488474,0.02309566835802949,0.05374729715134803,0.04840785335111109,0.05647579499850196,0.0511301868980413,0.0644123052459633,0.05490250195476842,0.0733851461679645,0.05372099826680714,0.04147451083196451,0.03774637891783084,0.04242264325433382,theme_1,0.3205219417386309
WMT,2019,2.358614344005361e-308,4.78371006138842e-308,2.6029281035289605e-308,2.18062016307227e-308,2.2256957294941547e-308,3.644127325993883e-308,2.990578484548804e-308,6.958905007475251e-308,8.832113341641413e-308,1.0,5.372841112983507e-308,5.711701616665409e-308,4.198990676513391e-308,3.632327585480034e-308,2.959160135430492e-308,3.095057059855013e-308,theme_9,1.0
XOM,2019,1.781614730583068e-308,3.906808428692057e-308,1.9423640677745603e-308,1.705891738855542e-308,1.725662969204608e-308,4.917067956904618e-308,3.736424034037439e-308,1.0,4.650157582570227e-308,7.019131621001445e-308,4.613372154998673e-308,7.495489968003896e-308,6.187103941209604e-308,3.226873501482253e-308,3.1955663247042005e-308,3.5328885631004786e-308,theme_7,1.0
