ticker,year,theme_0,theme_1,theme_2,best_theme,best_score
AAPL,2023,0.531335054857669,0.1951063866451401,0.27355855849719096,theme_0,0.531335054857669
ABBV,2023,6.588584458937377e-309,1.0,1.6139501101035925e-308,theme_1,1.0
ABT,2023,5.9952722009807e-309,1.0,1.6663438767018025e-308,theme_1,1.0
ACN,2023,0.4526001412318587,0.24433537320272755,0.30306448556541377,theme_0,0.4526001412318587
ADBE,2023,0.6466356173754246,0.15614574068594875,0.19721864193862665,theme_0,0.6466356173754246
AMD,2023,1.0,7.227065615759144e-309,1.029038640225568e-308,theme_0,1.0
AMZN,2023,1.0,5.658943535093903e-309,7.579401260552586e-309,theme_0,1.0
AVGO,2023,0.4627250018507075,0.2264770402161706,0.310797957933122,theme_0,0.4627250018507075
BAC,2023,0.3768665749733635,0.24125466355826086,0.30426665460051294,theme_0,0.3768665749733635
BRK-B,2023,0.6169847960862797,0.16480747447091681,0.21820772944280353,theme_0,0.6169847960862797
COST,2023,0.5939459496798127,0.15648697564621658,0.2495670746739706,theme_0,0.5939459496798127
CRM,2023,1.0,5.71993234174243e-309,8.15357642843341e-309,theme_0,1.0
CSCO,2023,0.41926538243406136,0.201547641933462,0.301574868764614,theme_0,0.41926538243406136
CVX,2023,9.990066058652784e-309,1.3367609148648483e-308,1.0,theme_2,1.0
DIS,2023,0.6200909223412405,0.15752913214226114,0.22237994551649837,theme_0,0.6200909223412405
GE,2023,0.44334827660485615,0.2503629927910795,0.3062887306040645,theme_0,0.44334827660485615
GOOGL,2023,1.0,5.3309724327848e-309,7.223594179195104e-309,theme_0,1.0
GS,2023,0.3715914114132981,0.18644238326818122,0.23542889663391794,theme_0,0.3715914114132981
HD,2023,0.12724176285428912,0.2017898954061362,0.25385029430770595,theme_2,0.25385029430770595
IBM,2023,0.5912044475330538,0.18091050130718916,0.22788505115975696,theme_0,0.5912044475330538
INTU,2023,0.4901036364144144,0.23528977474088072,0.27460658884470485,theme_0,0.4901036364144144
JNJ,2023,6.157292622998365e-309,1.0,1.973739552339379e-308,theme_1,1.0
JPM,2023,0.34581612002262885,0.17612981545255155,0.20802823701172354,theme_0,0.34581612002262885
KO,2023,1.0,6.63766467829998e-309,9.87910843752111e-309,theme_0,1.0
LIN,2023,8.29224231313211e-309,2.117607828131363e-308,1.0,theme_2,1.0
LLY,2023,0.1798037764686686,0.30368090156059735,0.33020796083885123,theme_2,0.33020796083885123
MA,2023,0.47158226317362817,0.24625353989024526,0.28216419693612654,theme_0,0.47158226317362817
MCD,2023,0.3911664612577192,0.2814442743723147,0.3273892643699662,theme_0,0.3911664612577192
META,2023,0.47208092658970535,0.21765828655996886,0.3102607868503258,theme_0,0.47208092658970535
MRK,2023,6.17713082853589e-309,1.0,1.3358831259811694e-308,theme_1,1.0
MS,2023,0.3357492549118834,0.287782059122651,0.31974967688563,theme_0,0.3357492549118834
MSFT,2023,0.464107835217245,0.1489311007753747,0.20681936919178118,theme_0,0.464107835217245
NEE,2023,1.0,7.0685553239851e-309,9.406998853756407e-309,theme_0,1.0
NFLX,2023,0.3516595383811435,0.1945956274757458,0.25241288793487854,theme_0,0.3516595383811435
NVDA,2023,0.44813693275270183,0.17394801362965548,0.25441258902475566,theme_0,0.44813693275270183
ORCL,2023,1.0,5.032031138649704e-309,6.551864775633176e-309,theme_0,1.0
PEP,2023,1.0,6.396888819892104e-309,8.610195051425113e-309,theme_0,1.0
PG,2023,0.24016261686462068,0.28446761143757826,0.30776461288241536,theme_2,0.30776461288241536
PM,2023,0.13616312645631562,0.3110253999399326,0.3665041124718689,theme_2,0.3665041124718689
QCOM,2023,1.0,5.935350859347014e-309,8.26898713702536e-309,theme_0,1.0
RTX,2023,0.33434764213749035,0.1808446784310959,0.2546927823726785,theme_0,0.33434764213749035
SPGI,2023,0.4263763664313156,0.26664425603608854,0.30697937753259597,theme_0,0.4263763664313156
TMO,2023,0.2656134114528472,0.2151726595955249,0.28832550791236333,theme_2,0.28832550791236333
TSLA,2023,0.4952287979526813,0.14709174162473104,0.23148961309168853,theme_0,0.4952287979526813
TXN,2023,1.0,6.126306172009064e-309,8.02902243343393e-309,theme_0,1.0
UNH,2023,0.10599822678066256,0.3998768433874481,0.21850059716386006,theme_1,0.3998768433874481
V,2023,0.45490423552730186,0.25605781288146584,0.28528182583453304,theme_0,0.45490423552730186
WFC,2023,0.3061801997413299,0.21613377029126515,0.2632925206249466,theme_0,0.3061801997413299
WMT,2023,0.42222311383858163,0.20651295303199924,0.29103538209677565,theme_0,0.42222311383858163
XOM,2023,9.838628270116045e-309,1.4639850068614906e-308,1.0,theme_2,1.0
