ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2021,-1,True,-1,noise
ABBV,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
ABT,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
ACN,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
ADBE,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
AMD,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
AMZN,2021,5,False,5,"AMZN, IBM, INTU, QCOM, TXN"
AVGO,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
BAC,2021,2,False,2,"BAC, CVX, LIN, WFC, XOM"
BRK-B,2021,-1,True,-1,noise
COST,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
CRM,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
CSCO,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
CVX,2021,2,False,2,"BAC, CVX, LIN, WFC, XOM"
DIS,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
GE,2021,0,False,0,"GE, MCD, MS"
GOOGL,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
GS,2021,-1,True,-1,noise
HD,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
IBM,2021,5,False,5,"AMZN, IBM, INTU, QCOM, TXN"
INTU,2021,5,False,5,"AMZN, IBM, INTU, QCOM, TXN"
JNJ,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
JPM,2021,-1,True,-1,noise
KO,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
LIN,2021,2,False,2,"BAC, CVX, LIN, WFC, XOM"
LLY,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
MA,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
MCD,2021,0,False,0,"GE, MCD, MS"
META,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
MRK,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
MS,2021,0,False,0,"GE, MCD, MS"
MSFT,2021,-1,True,-1,noise
NEE,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
NFLX,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
NVDA,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
ORCL,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
PEP,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
PG,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
PM,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
QCOM,2021,5,False,5,"AMZN, IBM, INTU, QCOM, TXN"
RTX,2021,-1,True,-1,noise
SPGI,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
TMO,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
TSLA,2021,-1,True,-1,noise
TXN,2021,5,False,5,"AMZN, IBM, INTU, QCOM, TXN"
UNH,2021,1,False,1,"ABBV, ABT, HD, JNJ, MRK"
V,2021,4,False,4,"ADBE, CRM, GOOGL, MA, NFLX"
WFC,2021,2,False,2,"BAC, CVX, LIN, WFC, XOM"
WMT,2021,3,False,3,"ACN, AMD, AVGO, COST, CSCO"
XOM,2021,2,False,2,"BAC, CVX, LIN, WFC, XOM"
