ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,best_theme,best_score
AAPL,2021,2.973509208096074e-308,1.6990310775640037e-308,2.5434392342177546e-308,1.0,2.8151602291648205e-308,3.0530131214583997e-308,2.360495393299808e-308,theme_3,1.0
ABBV,2021,1.4823733016795576e-308,9.201975593404186e-309,1.81238943236204e-308,2.323527842603693e-308,1.0,1.7548219676145056e-308,1.3168338667520083e-308,theme_4,1.0
ABT,2021,1.5720358689752756e-308,9.090279806059587e-309,2.0980739522172157e-308,2.286895633549629e-308,1.0,1.6229617737038664e-308,1.3985486037195123e-308,theme_4,1.0
ACN,2021,0.08198941814447198,0.04896685937769653,0.11183755515149958,0.12221606151494943,0.06053044743014015,0.12393085379525424,0.1509218924635559,theme_6,0.1509218924635559
ADBE,2021,2.3292570276890993e-308,1.4238087367704724e-308,4.2720059154316875e-308,2.5655677795145204e-308,1.462734044323861e-308,2.0039554969080487e-308,1.0,theme_6,1.0
AMD,2021,0.07931192801755214,0.039999420313003194,0.1511459167535164,0.07538788841966057,0.04767232578968684,0.05739908870286388,0.28979535398786443,theme_6,0.28979535398786443
AMZN,2021,1.0,1.9737367893111334e-308,2.946833759089535e-308,3.748781283092928e-308,1.7235758735292726e-308,1.961706067418604e-308,2.993743046767448e-308,theme_0,1.0
AVGO,2021,2.850220120783484e-308,1.163791096814741e-308,1.0,2.2838311675468283e-308,1.7371683300290275e-308,1.708428258859032e-308,4.704902592753078e-308,theme_2,1.0
BAC,2021,1.758956879961473e-308,1.3082028791379855e-308,1.7491710185311217e-308,2.920191606409713e-308,1.6448644138939634e-308,1.0,1.9440633733502812e-308,theme_5,1.0
BRK-B,2021,1.6089312362313094e-308,1.191777721127988e-308,1.629602223192884e-308,2.597758075857326e-308,1.8370627149217144e-308,1.0,1.6693059583102045e-308,theme_5,1.0
COST,2021,1.0,2.0478638806636905e-308,2.386119040678327e-308,3.9911418370275836e-308,1.8089336100728686e-308,2.0666522273740235e-308,2.467090886794019e-308,theme_0,1.0
CRM,2021,2.8992965165797537e-308,1.463654396997185e-308,4.763211135793011e-308,2.5438478944982467e-308,1.5338942987301796e-308,2.043148153560103e-308,1.0,theme_6,1.0
CSCO,2021,0.0891323421467838,0.4398111481455927,0.057415754599594075,0.08940309038459422,0.050067433199452685,0.06569153496559886,0.07012869127740899,theme_1,0.4398111481455927
CVX,2021,0.07082407601681949,0.044670408392329546,0.06096854292636973,0.09286088302218369,0.06636648107351617,0.1290032695519563,0.06139699633159088,theme_5,0.1290032695519563
DIS,2021,2.411702702286996e-308,1.883032373142657e-308,2.279144251495569e-308,1.0,1.988474547847917e-308,3.378075273735448e-308,2.8327908975294785e-308,theme_3,1.0
GE,2021,0.20725888466598844,0.1621137551730808,0.08626648308973187,0.1405450471865385,0.06975921370841136,0.08595019512402213,0.09872746502780312,theme_0,0.20725888466598844
GOOGL,2021,0.09974037741928055,0.07323283682797292,0.14262792872969032,0.16731954940050486,0.07200198672360048,0.10675067127688552,0.2521946105810124,theme_6,0.2521946105810124
GS,2021,0.08353754954084844,0.14963619934716266,0.05634757305351505,0.11044173995481185,0.053301938297015634,0.10034452172108281,0.07057234974066266,theme_1,0.14963619934716266
HD,2021,0.16652544609896414,0.05698030799744617,0.17711383921719898,0.12691862837335052,0.08501458964099654,0.08618749894158889,0.1558860679817819,theme_2,0.17711383921719898
IBM,2021,3.923985872709669e-308,1.8764439765050883e-308,2.7864308979355373e-308,1.0,2.275429040499598e-308,2.6588497970567453e-308,2.8088087236571786e-308,theme_3,1.0
INTU,2021,0.1260009695067183,0.05846328921329289,0.19920216274203267,0.10110504983261116,0.06672871063609799,0.08340957838642024,0.2843160545525082,theme_6,0.2843160545525082
JNJ,2021,0.07084620715453468,0.04390038047734763,0.07928338572356883,0.14674734031216036,0.20598297579147193,0.1183014224674749,0.06293877336836524,theme_4,0.20598297579147193
JPM,2021,0.06674332379067037,0.06787639984127317,0.04923730375948432,0.10621647349257346,0.0480677982614893,0.1409488135457411,0.06022726045658402,theme_5,0.1409488135457411
KO,2021,0.0982427475040181,0.34302059374064975,0.06700883186450303,0.11156410158769041,0.05973916205889415,0.08136458257722076,0.08148272069376426,theme_1,0.34302059374064975
LIN,2021,0.07801988279703505,0.04087859957972502,0.07939123198726426,0.09350557338000845,0.08192640062311274,0.08457285555641214,0.06779611339120817,theme_3,0.09350557338000845
LLY,2021,0.06829803412004974,0.042914952128943855,0.0876511577226547,0.09714700655755758,0.4685356118457356,0.07304910900163535,0.06241622166314757,theme_4,0.4685356118457356
MA,2021,0.09626799574059001,0.5100351819816537,0.06388295238564386,0.10730229088466274,0.057711024471433565,0.08511730441192816,0.0782873519802341,theme_1,0.5100351819816537
MCD,2021,0.23003109844705172,0.1804702173452452,0.08852325886778671,0.14645615459289182,0.07302119377783146,0.0932660383763669,0.10209126430729804,theme_0,0.23003109844705172
META,2021,0.07737284826344543,0.06307432387953697,0.0931008184298567,0.16615915751880703,0.0625164471553502,0.07789838206372252,0.1272788531884216,theme_3,0.16615915751880703
MRK,2021,1.322190528794512e-308,8.75482085762628e-309,1.679866536032918e-308,2.1529920929930596e-308,1.0,1.7167233731880266e-308,1.2418093374472744e-308,theme_4,1.0
MS,2021,0.18224931636912808,0.06176034899587182,0.15167315497666684,0.21573213354680124,0.11716468267239563,0.08491957939655606,0.10867222127400863,theme_3,0.21573213354680124
MSFT,2021,0.09304108714922656,0.06655986256364028,0.15067693615080033,0.13500485101991272,0.06902700458971954,0.11163101556184377,0.2879272039238039,theme_6,0.2879272039238039
NEE,2021,1.6015327170245224e-308,1.0,1.020713265570669e-308,1.5326579057476324e-308,9.30016635696275e-309,1.275060802763535e-308,1.216155214575423e-308,theme_1,1.0
NFLX,2021,0.0909228561221425,0.07707390659809511,0.0798384796884043,0.3618042974262754,0.07253180989023425,0.1425119175319802,0.09836785766315531,theme_3,0.3618042974262754
NVDA,2021,2.1643355898501105e-308,1.2615409075070404e-308,4.461883608218833e-308,2.251726399493607e-308,1.407992313454064e-308,1.8536732181393333e-308,1.0,theme_6,1.0
ORCL,2021,0.13426173728647897,0.1143650874090286,0.12768061982832765,0.14424546679893308,0.06901882811259406,0.0980824074400952,0.22880755681479797,theme_6,0.22880755681479797
PEP,2021,1.6986190792066906e-308,1.0,1.1136980999895097e-308,1.588506783522694e-308,9.37904315034716e-309,1.2748918432158485e-308,1.3623911191889576e-308,theme_1,1.0
PG,2021,0.07476602429254675,0.036478731792541574,0.07619653750435339,0.10980818339815472,0.09442585915986758,0.07564297776462989,0.05843861429962036,theme_3,0.10980818339815472
PM,2021,0.08537315876511162,0.0488773098996747,0.08727457140078615,0.13717015368332838,0.1441639033269068,0.1526538765402037,0.07248751167891226,theme_5,0.1526538765402037
QCOM,2021,0.10270919428025314,0.20510356283445036,0.0680506476711384,0.123310909033449,0.059472603623886185,0.07892519387515949,0.0844609687620102,theme_1,0.20510356283445036
RTX,2021,2.984570641542161e-308,1.124122701483171e-308,1.0,2.493868864601801e-308,2.2740238889609396e-308,1.814171542499674e-308,3.4618850707219255e-308,theme_2,1.0
SPGI,2021,0.0627018742490523,0.047139441696238286,0.07534768187647391,0.13561302560476846,0.06226562874602566,0.23104866872362265,0.08627676698138646,theme_5,0.23104866872362265
TMO,2021,0.11992780125837026,0.053588004707375785,0.17422684033821173,0.13584278385880147,0.25713762421002295,0.08526543380776899,0.09618294905087721,theme_4,0.25713762421002295
TSLA,2021,3.5595331978815925e-308,1.1825629004227644e-308,1.0,2.2974995211185367e-308,1.718254390578531e-308,1.678517086011781e-308,4.639045870814611e-308,theme_2,1.0
TXN,2021,1.0,1.6098598305998653e-308,4.0416578775119164e-308,3.469566586717419e-308,1.9316891492672456e-308,1.9216183711039376e-308,3.2537320104172284e-308,theme_0,1.0
