ticker,year,theme_0,theme_1,theme_2,theme_3,best_theme,best_score
AAPL,2019,0.19377620962398262,0.0985858339932661,0.20954837880480887,0.18303106470567615,theme_2,0.20954837880480887
ABBV,2019,1.0875202526857845e-308,5.192443416801907e-309,9.274503031107444e-309,1.0,theme_3,1.0
ABT,2019,9.50875121438325e-309,4.95662520020089e-309,1.0123140258025174e-308,1.0,theme_3,1.0
ACN,2019,0.1313069245357427,0.12110876439707566,0.34361693264487553,0.12330379452308579,theme_2,0.34361693264487553
ADBE,2019,8.73602807483529e-309,7.11822367625044e-309,1.0,8.777707476305663e-309,theme_2,1.0
AMD,2019,0.08923089306505158,0.07195789732499061,0.644415213027609,0.12104296613967175,theme_2,0.644415213027609
AMZN,2019,0.16241070646903552,0.17522403987988847,0.23580574959018943,0.1458959201616663,theme_2,0.23580574959018943
AVGO,2019,0.13511664441988488,0.11488808823555834,0.5530228886657956,0.16292767903303843,theme_2,0.5530228886657956
BAC,2019,1.0,8.033825243451827e-309,8.879110391361696e-309,8.983231236102573e-309,theme_0,1.0
BRK-B,2019,1.0,6.736102146210587e-309,8.59914626576623e-309,1.0821904508611245e-308,theme_0,1.0
COST,2019,0.1750916352323456,0.18406400730828829,0.20990949805507378,0.150271275505072,theme_2,0.20990949805507378
CRM,2019,0.11709172157680053,0.0833498834635518,0.5068332808099807,0.12368365383267049,theme_2,0.5068332808099807
CSCO,2019,7.79207630628467e-309,1.0,6.569236303360383e-309,4.99568021646496e-309,theme_1,1.0
CVX,2019,0.18376457426098267,0.10101280563457875,0.14974441100614444,0.21218619586748147,theme_3,0.21218619586748147
DIS,2019,0.130480880049399,0.11239463724561038,0.16750817165322562,0.09219605867894104,theme_2,0.16750817165322562
GE,2019,0.1575058853297212,0.2818631256759259,0.16059064621637925,0.11937675887875333,theme_1,0.2818631256759259
GOOGL,2019,0.15960021750312453,0.11617366552080273,0.5449296030013736,0.13494716982764005,theme_2,0.5449296030013736
GS,2019,0.19379462387854315,0.14817807179823034,0.07950831243399302,0.07054128144390165,theme_0,0.19379462387854315
HD,2019,0.13124613426070525,0.10446074847241144,0.545607065351965,0.1456020784681738,theme_2,0.545607065351965
IBM,2019,0.11851205973164027,0.10544920170358783,0.6203549837567082,0.12163905516234086,theme_2,0.6203549837567082
INTU,2019,9.27824017914832e-309,6.61463224522863e-309,1.0,1.0567143980230766e-308,theme_2,1.0
