ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2023,6,False,6,"AAPL, DIS, PG"
ABBV,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
ABT,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
ACN,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
ADBE,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
AMD,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
AMZN,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
AVGO,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
BAC,2023,3,False,3,"BAC, BRK-B, JPM, WFC"
BRK-B,2023,3,False,3,"BAC, BRK-B, JPM, WFC"
COST,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
CRM,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
CSCO,2023,4,False,4,"CSCO, GS, HD, KO, MA"
CVX,2023,0,False,0,"CVX, LIN, XOM"
DIS,2023,6,False,6,"AAPL, DIS, PG"
GE,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
GOOGL,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
GS,2023,4,False,4,"CSCO, GS, HD, KO, MA"
HD,2023,4,False,4,"CSCO, GS, HD, KO, MA"
IBM,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
INTU,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
JNJ,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
JPM,2023,3,False,3,"BAC, BRK-B, JPM, WFC"
KO,2023,4,False,4,"CSCO, GS, HD, KO, MA"
LIN,2023,0,False,0,"CVX, LIN, XOM"
LLY,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
MA,2023,4,False,4,"CSCO, GS, HD, KO, MA"
MCD,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
META,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
MRK,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
MS,2023,-1,True,-1,noise
MSFT,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
NEE,2023,4,False,4,"CSCO, GS, HD, KO, MA"
NFLX,2023,-1,True,-1,noise
NVDA,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
ORCL,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
PEP,2023,4,False,4,"CSCO, GS, HD, KO, MA"
PG,2023,6,False,6,"AAPL, DIS, PG"
PM,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
QCOM,2023,4,False,4,"CSCO, GS, HD, KO, MA"
RTX,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
SPGI,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
TMO,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
TSLA,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
TXN,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
UNH,2023,5,False,5,"ABBV, ABT, JNJ, LLY, MRK"
V,2023,2,False,2,"ACN, ADBE, AMD, AVGO, CRM"
WFC,2023,3,False,3,"BAC, BRK-B, JPM, WFC"
WMT,2023,1,False,1,"AMZN, COST, GE, MCD, TXN"
XOM,2023,0,False,0,"CVX, LIN, XOM"
