ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,best_theme,best_score
AAPL,2023,0.11378567522360272,0.09335087151197982,0.14241119630585564,0.1276335294614845,0.08733977782639396,0.2569787312286693,0.12730110207044149,theme_5,0.2569787312286693
ABBV,2023,2.1880532219447113e-308,2.1769679317599876e-308,2.1876567678290535e-308,1.6240330690406613e-308,1.0,1.864333953809128e-308,4.2688943107277336e-308,theme_4,1.0
ABT,2023,0.07175417994980796,0.07671905075001315,0.08884513074321251,0.051795721502981326,0.1710422247638526,0.057156739407463165,0.3450442864147318,theme_6,0.3450442864147318
ACN,2023,0.11497918716249056,0.1281110374566002,0.10854546783231316,0.3138016267714032,0.07108673629092978,0.1427236264281792,0.09734282583216304,theme_3,0.3138016267714032
ADBE,2023,2.334130229151924e-308,1.0,1.9994617184589847e-308,2.9551956099884857e-308,2.1300365579190724e-308,2.0833844312702485e-308,2.3355109020902104e-308,theme_1,1.0
AMD,2023,2.5820460147348243e-308,2.0785820147025655e-308,2.7355646343429336e-308,4.2135580299558443e-308,1.694841383453894e-308,1.0,2.335073974984649e-308,theme_5,1.0
AMZN,2023,2.4916166780354058e-308,2.52040389115126e-308,3.300715318727722e-308,2.184521588104692e-308,4.383135270971149e-308,2.621184951817628e-308,1.0,theme_6,1.0
AVGO,2023,0.12630758391609204,0.10037957619608365,0.17505818041237428,0.097220169687503,0.12078620939077613,0.11542862181991269,0.23981727325402616,theme_6,0.23981727325402616
BAC,2023,0.1377397961904709,0.19368183883168538,0.14925313436155285,0.09225670444646095,0.12846301714348257,0.08365144542678865,0.15073638079245372,theme_1,0.19368183883168538
BRK-B,2023,1.0,2.84381225959714e-308,3.0882584877219567e-308,2.6231058057074267e-308,2.3477456813465e-308,2.400113283481378e-308,2.60388573160907e-308,theme_0,1.0
COST,2023,2.60021531953688e-308,1.989305733404249e-308,3.335838417234145e-308,2.6986308596993556e-308,1.9171355048363563e-308,1.0,2.6234779143229235e-308,theme_5,1.0
CRM,2023,2.487384387021552e-308,2.8360099002712714e-308,2.2029880904739863e-308,1.0,1.649083028098826e-308,4.1610578547359235e-308,2.1591851780477773e-308,theme_3,1.0
CSCO,2023,0.14312204767368067,0.0959438924095921,0.20891200595172893,0.13815960531696392,0.08278012855789739,0.15401843897870318,0.11474424896661878,theme_2,0.20891200595172893
CVX,2023,2.317252941719805e-308,1.0,1.804093528910073e-308,1.9947799095294075e-308,2.4425920760825035e-308,1.459827076506146e-308,2.244983664605471e-308,theme_1,1.0
DIS,2023,0.15498715874096008,0.16664663938376564,0.11710636516993504,0.14811245245788449,0.07606073353286519,0.1027719530027935,0.0877646607741844,theme_1,0.16664663938376564
GE,2023,0.18384236861931585,0.09154077313221488,0.19159115422487535,0.11073912577534331,0.09643011581440544,0.1280641099078751,0.13547272038115504,theme_2,0.19159115422487535
GOOGL,2023,0.10584774496591638,0.12125251569018827,0.12618152236028696,0.12749643665099625,0.09856496393101327,0.23756924707414764,0.13188845295587867,theme_5,0.23756924707414764
GS,2023,0.11393771988881739,0.16792865250124836,0.11488630560497673,0.10404346906453239,0.09277968564632068,0.1011139265871662,0.09616589040002953,theme_1,0.16792865250124836
