ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,best_theme,best_score
AAPL,2019,2.2724280124445647e-308,2.5011437674875697e-308,2.04392307980332e-308,1.321586416284028e-308,2.5166365114966575e-308,1.0,theme_5,1.0
ABBV,2019,1.5054924592842935e-308,1.2434699212471493e-308,1.70139714887077e-308,1.0,1.157699574945689e-308,1.125114014767882e-308,theme_3,1.0
ABT,2019,0.09180429134420225,0.06972179343968203,0.0988796531959107,0.48143199011110965,0.07027797576291617,0.06676412036962708,theme_3,0.48143199011110965
ACN,2019,0.08672751263066086,0.11508179536146557,0.14444355867586553,0.07002248060695979,0.1421102908807863,0.13079779189240381,theme_2,0.14444355867586553
ADBE,2019,0.1406886958234224,0.1383356927568655,0.13968060346935066,0.09404472291103966,0.2420582005855199,0.23884456502867166,theme_4,0.2420582005855199
AMD,2019,2.507998383379725e-308,1.0,1.756439032912375e-308,1.5778429234292487e-308,2.4965044222916767e-308,3.020498910554323e-308,theme_1,1.0
AMZN,2019,0.12283455410991473,0.1286926396521522,0.18501450033596506,0.11569747458455491,0.21405689289479193,0.1700617086742855,theme_4,0.21405689289479193
AVGO,2019,0.11232676522822611,0.1639673585063574,0.15987496036235904,0.08551202045218918,0.15379872322906762,0.1661795865270119,theme_5,0.1661795865270119
BAC,2019,1.76316915542473e-308,2.0965956671116906e-308,1.0,1.9808230700811643e-308,2.418989240931678e-308,2.1467126168073713e-308,theme_2,1.0
BRK-B,2019,0.12964918886656043,0.1423080926197248,0.2438276409323908,0.10899497258325662,0.14288811560634843,0.14351278750255358,theme_2,0.2438276409323908
COST,2019,0.14693295496956124,0.24541746911930407,0.1078232133650897,0.0835174918023848,0.11868787333893561,0.19522144662335764,theme_1,0.24541746911930407
CRM,2019,1.9033731816123283e-308,2.4286070085995875e-308,2.115116907050099e-308,1.446941014459644e-308,1.0,2.2420576068190693e-308,theme_4,1.0
CSCO,2019,2.246190416549664e-308,3.498831550683096e-308,2.050014267760311e-308,1.2646293595897125e-308,2.284121546594388e-308,1.0,theme_5,1.0
CVX,2019,0.0918357642476597,0.10640360423883308,0.4452515981429728,0.14402036820606212,0.10047996512111866,0.09413517483799644,theme_2,0.4452515981429728
DIS,2019,2.018008396049846e-308,2.7519344991926553e-308,1.7543627216841786e-308,1.188519457107718e-308,2.1286245946187993e-308,1.0,theme_5,1.0
GE,2019,1.0,2.634719483681902e-308,1.679084812978325e-308,1.698343367977032e-308,1.900374232193197e-308,2.2212767324795924e-308,theme_0,1.0
GOOGL,2019,0.09734567801738943,0.11424484776674729,0.10038874624656227,0.06493919225392855,0.41389406531882605,0.14840847810099175,theme_4,0.41389406531882605
GS,2019,0.10407199087117106,0.13731538654310826,0.09609885695532984,0.07631453762554527,0.10690484071200397,0.18534200023293484,theme_5,0.18534200023293484
HD,2019,0.29807945762778926,0.13572766161786107,0.10374751207377038,0.12428775106559857,0.10252446682323656,0.10727420184866122,theme_0,0.29807945762778926
IBM,2019,1.6819886802554635e-308,2.083759407057692e-308,2.261591991894812e-308,1.4542033005208993e-308,1.0,2.1597755434359184e-308,theme_4,1.0
INTU,2019,0.14206018694728378,0.11750445287382355,0.16751950176802416,0.09996700316011543,0.2165550297286808,0.1927515957737367,theme_4,0.2165550297286808
JNJ,2019,1.347161427933223e-308,1.144972349239979e-308,1.7722270997311344e-308,1.0,1.123012222841137e-308,1.063202498585412e-308,theme_3,1.0
JPM,2019,0.11904130803213621,0.17470794425197803,0.09917863654208774,0.08270669946336429,0.10806898529418967,0.1993262322665111,theme_5,0.1993262322665111
KO,2019,2.0607625798162157e-308,1.0,2.0133585514099467e-308,1.498087096978988e-308,2.2168064198090816e-308,3.5189176931446343e-308,theme_1,1.0
LIN,2019,0.17094510767846016,0.0911158214155802,0.1227358269021667,0.148844619661272,0.09582879621624585,0.09336680421700781,theme_0,0.17094510767846016
LLY,2019,0.10835163112300612,0.14911346608113,0.11003742236252882,0.11276589617086016,0.1038027587221394,0.10330001166691144,theme_1,0.14911346608113
MA,2019,0.08674556710827117,0.12113751269420883,0.07292199989532595,0.055429120698487974,0.1005954728426727,0.35873949127374954,theme_5,0.35873949127374954
MCD,2019,1.0,2.1046802739347763e-308,1.576067721839099e-308,1.669053474490766e-308,1.744904305251513e-308,1.9478191886794807e-308,theme_0,1.0
META,2019,0.09622179607043858,0.12833222933207938,0.11879762053711214,0.07644070507057571,0.13090700628031482,0.1553040245064827,theme_5,0.1553040245064827
MRK,2019,1.5319120524553704e-308,1.3849493193047677e-308,1.931963382808368e-308,1.0,1.3110563536459516e-308,1.1665118253285705e-308,theme_3,1.0
MS,2019,1.0,1.813376308569939e-308,1.548004411308927e-308,1.485950152382923e-308,1.802834515303481e-308,2.06099864534386e-308,theme_0,1.0
MSFT,2019,0.09927109187539936,0.10871502202503219,0.0945958609090891,0.07105586476670786,0.16277187730056844,0.10656826273372945,theme_4,0.16277187730056844
NEE,2019,2.7104744299799184e-308,1.0,1.700288810431993e-308,1.5146651765580283e-308,1.9963831484120454e-308,3.1073842018522637e-308,theme_1,1.0
NFLX,2019,0.10865434695636395,0.13875003077988066,0.13002171000799886,0.06866431980680959,0.1457906538824353,0.24827727877376277,theme_5,0.24827727877376277
NVDA,2019,0.0989987561138465,0.15051826759282094,0.10321019162171001,0.08083239081429194,0.35434656106254436,0.11784714431218783,theme_4,0.35434656106254436
ORCL,2019,1.805679538894554e-308,2.060198170119664e-308,1.85082296644815e-308,1.28275121891084e-308,1.0,2.461860098336531e-308,theme_4,1.0
PEP,2019,0.13832244916596986,0.30125957674587545,0.10838390993481796,0.08267978026866794,0.12242005545576355,0.23818808623065368,theme_1,0.30125957674587545
PG,2019,0.0802000217458154,0.07349085133482708,0.16179176181634172,0.15148210436610968,0.07251665644561918,0.06648503162082163,theme_2,0.16179176181634172
PM,2019,0.09542358815793962,0.11839243687695165,0.11159839673407626,0.13509540255769587,0.0855422549931428,0.08338023314360829,theme_3,0.13509540255769587
QCOM,2019,0.13294405217796007,0.1548953028534363,0.12377217709454012,0.08647760024077346,0.17187950975324748,0.32368383845491233,theme_5,0.32368383845491233
RTX,2019,0.13372963757119338,0.09054849888148105,0.16852583764252457,0.09935666064239158,0.11999551791409255,0.11068082343904967,theme_2,0.16852583764252457
SPGI,2019,0.12791426969123554,0.11103465482811362,0.2470797512475153,0.14721620231141305,0.14320143951041003,0.11955884741219219,theme_2,0.2470797512475153
TMO,2019,0.0871536616046341,0.0871987544030036,0.09948590289371355,0.20263522287018546,0.07836791761727543,0.07459085307460234,theme_3,0.20263522287018546
TSLA,2019,0.08854753592971178,0.1260189243259207,0.12171074123261341,0.089825669732815,0.13007612531171203,0.10896964718645803,theme_4,0.13007612531171203
TXN,2019,0.1147419357877278,0.15502417931420256,0.1418916280603495,0.11423119763106206,0.23315946272328247,0.14670490800077704,theme_4,0.23315946272328247
UNH,2019,0.07224772823914527,0.06215631282867791,0.08881762237210987,0.29300275572182977,0.06462377228624241,0.053006332883260204,theme_3,0.29300275572182977
V,2019,2.0451459919460725e-308,3.035469052974375e-308,1.627162332629268e-308,1.214074645901809e-308,2.1519875296971906e-308,1.0,theme_5,1.0
WFC,2019,1.7993272817371456e-308,1.79613909264254e-308,1.0,1.9726147491790536e-308,2.28726056925969e-308,2.002963053737192e-308,theme_2,1.0
WMT,2019,0.09804378416154916,0.17000693420757815,0.09749265660233353,0.06746276057868245,0.10962311311413993,0.16667033358568586,theme_1,0.17000693420757815
XOM,2019,1.6612355198344985e-308,2.070196142612737e-308,1.0,2.313540717979682e-308,1.8894067623484895e-308,1.855258760300694e-308,theme_2,1.0
