ticker,year,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_87,tfidf_88,tfidf_89,tfidf_90,tfidf_91,tfidf_92,tfidf_93,tfidf_94,tfidf_95,tfidf_96,tfidf_97,tfidf_98,tfidf_99
A,2019,0.26085364342755785,-0.18297863828503896,-0.15255381874600935,-0.07413901423061607,0.04815017076031275,0.0032017272592564394,-0.18498789377999839,-0.034466892922391835,0.14221315886030275,-0.057122075842520915,0.023933440647194982,-0.02146631619936106,0.03864917996643773,0.016896663720178735,0.019875775541456673,-0.07641191082390426,-0.10441327593551629,-0.012057668468357215,-0.005968023896990617,-0.034412952391292925,0.16553031410801633,0.10295129585486738,-0.2758483489019708,0.008754834848098046,0.10303456389818946,-0.1595416459313939,0.06750468044865815,0.09556194593192081,0.07116812893836788,0.1794773364823119,0.18501302488797525,-0.16867889081492135,0.08783485662692167,-0.044995344651244946,0.016129064382639963,0.01765158089657469,0.025424689272916697,-0.0022654419358305706,0.0747554052983187,-0.15347670092960924,-0.0714373931960523,0.07891089358412665,-0.023511971604552866,-0.11075486715090331,0.04252395446762264,-0.05785970245291756,-0.03373333020087783,0.043505685173928686,0.03290957722700134,-0.04564364165538746,-0.03742522470336281,-0.010286699303042216,0.00813339370655246,0.044807311833783336,-0.03326655382987881,-0.051747344449817385,0.05881588316864801,0.042056901654857634,0.018569775938400732,-0.054749952913335974,-0.015504214339998976,-0.020202602556646777,-0.031937756358671826,-0.008350112605122242,0.009742940668853851,-0.044223543205770564,0.06470178523132394,0.045224891668450756,-0.028586861386221744,0.00457878189139015,0.007907496704885131,0.005089969232131488,0.027521446998451802,-0.025578539762199617,-0.0602025519884522,-0.05546667072526094,-0.027007668828881636,-0.007880100746982848,0.04881410330687787,0.04941435692599519,-0.00820090022579301,-0.002918128916147611,-0.046176034331100436,-0.008048186071509013,-0.04100678430222825,0.08440395565211815,0.018641919676956678,-0.051415738014398776,0.006257413802609752,-0.05417357194935287,-0.061710044583333054,0.029521547128035112,-0.041486786535686,0.07428712632384472,0.011264937221944753,-0.005984422195406779,-0.046072593948760794,-0.005979086361467465,0.0427435632419036,-0.0342045440279904
A,2021,0.2706295121961501,-0.19119871566346872,-0.15080639508298269,-0.0875193858689493,0.052002133748057955,-0.0024666256206832453,-0.19846113269410312,-0.03259668296541935,0.1444249687225173,-0.05795464732314208,0.026199825773395895,-0.023500790048846094,0.0393827310504068,0.016900247193072655,0.01845645148232765,-0.07591417401793422,-0.10837689335553947,-0.011797483349722892,-0.010456057001108044,-0.03802526532401363,0.16754211701822222,0.10382181793861084,-0.2738349775967679,0.008194767654018626,0.1012569988667232,-0.15521220998196014,0.07368259021973858,0.09813914035097888,0.0705698407804333,0.18524407607087862,0.18448931724316497,-0.17188307172124248,0.0867581487831103,-0.0443090967447793,0.015428106989173906,0.018415596130499583,0.023257436783843056,-0.0017318714447384193,0.08060101357728357,-0.15741531002860024,-0.06687382941176848,0.08243512277824641,-0.021331019864565787,-0.11367287792010128,0.03869845200825883,-0.056703431408603684,-0.029275423799588543,0.046309170349826234,0.03132353230900282,-0.05239759253310166,-0.03597485703973983,-0.01030131564780087,0.005973213864836601,0.04716335556699274,-0.03158349389670827,-0.05454179322254997,0.0599480127801824,0.036740465345482115,0.015874809532142684,-0.052612088683690994,-0.015222085366128726,-0.018019901965888804,-0.03293351877025804,-0.011232290476038388,0.003334522186306452,-0.049417841472432514,0.06016204592385535,0.045965942968578935,-0.03315463810182945,0.002618021034564508,0.011305658126795385,0.0019677366413396393,0.028693902923520323,-0.03056168017752086,-0.06159059199958669,-0.05630240427438633,-0.026564480543133873,-0.009338759345239284,0.0468806129081547,0.049952687804631093,-0.009203022259607273,-0.0018096170483969235,-0.04613858051455136,-0.009040626843057177,-0.044228617298219926,0.08599908335646692,0.01959009841654445,-0.0502798458158415,0.01075613577908187,-0.05546614848214406,-0.0629793272262343,0.02588314675994215,-0.04231883502794553,0.07356837989926869,0.009870346013102622,-0.00637927046739628,-0.04565945063297276,-0.00830543396732201,0.03988922136288291,-0.03532460535610595
A,2023,0.2695658896533591,-0.18810524907334844,-0.14179235513047111,-0.09140870198874444,0.05208180993672901,0.0013472408929660162,-0.19690015061749397,-0.025907359362200955,0.14430652549569517,-0.051894094014604576,0.02924025711598344,-0.021242547582811046,0.038180033595256596,0.009099291125171136,0.025319796559491358,-0.06938882557302364,-0.10933567437641882,-0.013695279401998266,-0.008618026162811538,-0.04322514574366656,0.15959469506861304,0.09654885727372749,-0.2761552700841863,0.004759652864210419,0.09591500804913299,-0.15542832713118487,0.07854661552494295,0.09347548442065837,0.07360128524470169,0.17716755769499778,0.18352314070939052,-0.18016187056739819,0.0826245945883617,-0.0394412967406473,0.013579582841469845,0.01423861733502383,0.01788605711711343,-0.0005770869667215888,0.08783220834459161,-0.15236919757725065,-0.06278555653573345,0.0832302122302609,-0.01962106923072138,-0.10877875808892289,0.03182228308814517,-0.055710761152509586,-0.028574600877186423,0.05086234909647761,0.029823411095050694,-0.04867344286994803,-0.03442678465758121,-0.007671451545989189,0.006639015418305667,0.05061895910738477,-0.025623374980843515,-0.04068805531610555,0.05272593868353111,0.02682171232738145,0.018923592264382845,-0.050191337575786615,-0.02463773247356103,-0.01797008517719067,-0.03162213538439791,-0.007098353026325142,0.0054424003475341595,-0.05025526205070746,0.0503574993579494,0.03987412013733755,-0.03497560042279031,0.0004050462229430432,0.010666254529060656,0.00429360276835736,0.028799493974890844,-0.030986260203869204,-0.061003207033213,-0.05047781466578635,-0.023871326143026887,-0.010325287586932396,0.04233185205676777,0.04271025664452337,-0.005157966625146948,-0.006890811944723244,-0.049646145141644143,-0.014135457021488324,-0.04650225388735452,0.08193947034577813,0.019808416709039794,-0.05247199109629229,0.012937813447219152,-0.04475443686195675,-0.06969350347101642,0.02378804565144102,-0.03924618477815133,0.0683846505830479,0.010447247581479592,-0.009670663488918818,-0.04367556842405876,-0.0036843150078921965,0.04145083360936925,-0.0333458882593628
AAPL,2019,0.4032752798908899,-0.10258459202030541,0.04010820997882696,-0.07912841201843107,0.008144678546974635,-0.03113547880043999,-0.015469781298727734,-0.010380394667769782,-0.13396067074416362,0.12666186364730328,0.13540511230461405,0.09120775589631924,-0.2317394182236958,0.0595394587637161,0.08378531389971376,-0.06509890950050214,0.12837536032655655,-0.016769740986444116,0.14646852910790814,0.05071661501821731,0.12498242278995661,0.059483512260095794,0.1322006279746335,-0.022038328897056595,0.005562449082332371,0.1602318264446292,-0.03204334312963137,-0.05143185316799486,0.05692793732557733,0.075684745290939,0.05445942064992228,-0.021277243092309772,-0.0037606036805851264,-0.024902049251914624,-0.023174015318452153,0.008464040860722628,0.03928315242467671,0.030109001661049555,0.03750970081564431,-0.017594707482845133,-0.004159585982851109,0.09921202917094897,-0.014017243647850092,-0.08838819865812132,-0.011689755731549525,0.032773216282108344,-0.038333170713230946,0.049384188458512265,0.011586106172813882,0.06540029445501917,-0.02061460798646985,-0.05454380706978638,0.009784877794543418,-0.006107529623508856,-0.05751316702606839,0.03661230289811659,-0.021066304167868807,0.045538719604675114,0.04743195659021051,-0.031212426693913276,-0.016071639858009055,0.008015747325040816,0.05866211494025377,0.0238877621685145,0.015337022673374891,0.009224052251426744,-0.0014557257152179744,-0.0295989273810339,-0.022077537660877843,-0.023265995894708145,0.029422711579565945,-0.009326311669413804,-0.006419347942393515,0.04939622940071122,-0.003417821691959779,0.0015885851319699749,-0.031246215636712246,-0.061088459835536846,-0.0032007210649975817,0.03782869669141314,0.028283121711002935,-0.02704619788398012,-0.027535271358707245,0.016674516601439638,-0.0017999173616091136,0.03365481996774874,0.00835412406418184,0.010287570912036323,0.02840590490649366,-0.02502290459161472,-0.014821791148501521,0.01674900173106422,0.017365028240507924,0.006736659713303607,-0.006430092372790452,0.02049268394304309,0.019402980114812025,-0.007807211057317038,-0.05847009163202582,-0.02190415241966992
AAPL,2021,0.41561778113421577,-0.11753693284745223,0.05430174162663039,-0.07989951584764536,0.0045889470789678465,-0.04621865390045234,-0.0032666467636443377,-0.0047366817795777075,-0.1636041055036481,0.12744496535467656,0.12993953360067653,0.09104640281344416,-0.2231358479968405,0.05260168714309384,0.1083171325279231,-0.0533120407644802,0.15162090609628914,0.011465707052225878,0.14913372644303136,0.05463065879758281,0.12119277495702856,0.054540338431847045,0.09408718934609993,-0.03712396014417094,-0.01980702987494993,0.15980916558705388,-0.04930708293949806,-0.05340308949063664,0.048256484581484085,0.09023991166128341,0.04402494201618648,-0.012381254441404678,0.013018509519151353,-0.025799343763236626,-0.007870555291567686,0.012181078062567623,0.05087953958659179,0.029758071003989053,0.04131153180223438,-0.022876048043222397,0.011230566490924269,0.10591561463215199,-0.00024850356594742897,-0.10342328077168493,-0.011208416457066236,0.031675363279784347,-0.05777427096453116,0.03637800503932231,0.00833265826605056,0.05977307361885152,-0.010638851328164852,-0.0653110725230337,0.008635530752495445,-0.016624516436786283,-0.04064633479803716,0.029074315081300234,-0.022884159044656564,0.04656902725496926,0.03970725507108756,-0.027754346063242032,-0.022265954206847578,-0.0005632530108278619,0.06993982688266381,0.033865509205630785,0.017034926358557034,0.007128659163256326,-0.008046582757396814,-0.01443872812883923,-0.017283934041144935,-0.00549638197075815,0.03388171999234134,-0.030853620548143022,-0.005691784391898226,0.04556750586927561,9.772188158687853e-05,-3.627699200452433e-05,-0.03197170813929344,-0.05453827599105545,-0.008789790589801354,0.033436047169786216,0.027980404874120245,-0.026645361540667024,-0.02728487093660269,0.019281257634276242,-0.01183207390983016,0.02739691173427201,0.0035424741718575663,0.014803754961524238,0.034735063379026654,-0.025387674881062677,-0.009191610822722502,0.021001071102599408,0.023368536119706317,0.005294963716981508,-0.008159619165152033,0.00847971516412118,0.014632500651998453,0.0010371694228087452,-0.05638805862408909,-0.013326215428619196
AAPL,2023,0.41756610894209323,-0.12932538368813085,0.05785259488657104,-0.07987637391859348,0.004044438321097928,-0.04541570635886797,0.0005761194971080195,-0.008867919443055377,-0.16403354651085855,0.12994623040923628,0.13635963643063628,0.08993050142773355,-0.22320068354630537,0.05122431707222504,0.11673068806799806,-0.054383627694205613,0.1528448943707674,0.013413654745414217,0.1538829351603871,0.050604019541436646,0.11480531372788312,0.0599194503168601,0.0947186784422264,-0.04493802518223648,-0.02176456545860782,0.15651603510744258,-0.05768343773305344,-0.05279506902870213,0.04970760950341043,0.08897682910621509,0.04105523913841028,-0.015983951383832493,0.01763541653041252,-0.029150982783363574,-0.0016222918684809205,0.012704680741870675,0.04776475233221147,0.02438284993916533,0.043021632329448646,-0.017289547605661766,0.008655128376328598,0.10766509569960739,0.006656907333332095,-0.09674867335916951,-0.00644097073138296,0.03502971345910894,-0.059052932280105774,0.03643962443405067,0.008495497175389402,0.05997207515612312,-0.0041699389059710705,-0.06392369087153048,0.01298063518759167,-0.01536200024653677,-0.033470297207941285,0.024550761409123174,-0.020951731320157162,0.04698457684110376,0.04646949369637707,-0.024541989575459847,-0.024970220449583806,-3.687396493685016e-05,0.07030828860319369,0.03525185273411791,0.020856055894397884,0.001418538118977883,-0.008392997737453093,-0.010959787353246745,-0.019182933284437716,-0.007852901929434638,0.034604815441855646,-0.033821960033861835,-0.0062901050506802255,0.03837047187523377,0.0019363884910433948,-0.003943543739037633,-0.030120697582035203,-0.055300078231624805,-0.004051652814186463,0.03370191272341227,0.025268377159176448,-0.022197338097541475,-0.027839704487694777,0.016198650755857073,-0.01769145875000561,0.023140481455448884,-0.0009199776649649752,0.011520889041357663,0.0356784309096091,-0.0244326333787287,-0.009155859283533473,0.023580090844442302,0.02100705116225666,0.006680387133536721,-0.0058034527316550375,0.010139050007489877,0.01291900818993659,0.0035573872640137557,-0.05432505731396972,-0.01443431730875556
ABBV,2019,0.17316140761541096,-0.10252910353429535,0.047412993972125124,-0.103016096883457,0.020151027022950872,-0.10275224815618487,-0.2181970939069309,-0.10156925324273089,0.02223261503007297,-0.10734529151535838,-0.038691388395608914,0.005954710544580101,-0.05213224194357567,0.0725004436854022,-0.05266301414996804,-0.05569660419249849,-0.07182582899363224,0.07910642973123241,-0.09236813090097588,0.1012779616695952,0.025722985170720487,0.14380471613838514,0.12170363973471983,-0.012597167174306251,0.03229697770410245,0.06216626928510838,-0.008768580938312197,0.006315541277341396,-0.020004704641762853,-0.015462624373578123,-0.09469945106008255,0.05184912328913773,-0.01950688275923198,0.023204791159747874,0.00089954865430989,-0.019300086243402546,0.03705719028092621,-0.058165898405521665,0.02746740438676308,0.1449812195074603,-0.01439126912743152,2.8670449101425382e-05,-0.11565182684353048,0.019176459231588974,0.06622207520363484,0.003652203315158905,-0.025929891395263985,-0.04825285394436819,0.016958268537991147,-0.03842039785805911,0.09155693950886966,-0.007157867611914009,0.010516728768914328,0.004339528433030756,-0.006897239565891272,0.028199068355216995,0.047674782047051056,0.04093513696658594,-0.10774179073694921,0.025858331960179188,-0.03677426888110957,0.010040242767211228,-0.04494928271056464,0.046010814847911786,0.03228052015136913,-0.017549153314335184,-0.0179981685896003,0.030086611359954593,-0.0034899352535942224,0.06163834428686057,-0.0586722558161297,0.0786249459989214,0.04451206705771367,-0.07926791608692385,-0.08849862768535902,0.005217628641846639,0.045459601508600914,0.028950819424861295,-0.05189757609590966,0.042355170674424035,0.011928621509566128,0.01888557393034053,0.0013357620661306373,-0.0252662058762369,0.05087987043830001,0.01219449199529289,-0.004442120385682314,0.02212059500474693,0.021894625332764334,-0.05292541243330467,0.017677983675502877,-0.0143714579782482,0.05019041812659322,0.04763318187806975,-0.07629534885652343,0.001259419270585597,-0.05485173786566598,-0.028238881964007957,0.031673600083531275,-0.03045964979413616
ABBV,2021,0.19058029153381437,-0.12304638389066,0.054299593624617865,-0.11904402182906657,0.02297347247053294,-0.1284876052139381,-0.2584241630393139,-0.13354921046181017,0.027375914349775925,-0.13557968378803217,-0.058815375880764756,0.012158829610053493,-0.05605394276822742,0.08186761391844696,-0.057539178581245125,-0.06158802749903062,-0.07500644847630968,0.09611140450737517,-0.09917318915497297,0.12398850282281387,0.03510613062891512,0.1724414243636889,0.1355781708139533,-0.012629687212852536,0.022202202097397535,0.05394067132714905,-0.02881654449355903,0.008833772328517429,-0.03342667618211629,-0.031074061540964357,-0.11931144322352302,0.061720414441704584,-0.0072289833146170395,0.03266379527612618,0.006607763969097652,-0.017843693681815414,0.03356919806789465,-0.0661436356047914,0.030081613705297862,0.1615405733895004,-0.015669600603301897,-0.01124630511201931,-0.1223046503728888,0.027517515308376532,0.06893765191735549,0.009324706443667174,-0.025256520732233594,-0.07057587210618146,0.010480494552764438,-0.04988111955492149,0.11139095129305925,-0.004663229201250405,0.017879542311811204,-0.00663818538216269,-0.011162568669380275,0.030008306657161355,0.05386578364699974,0.05460964456431341,-0.11966158544881812,0.02049862934737694,-0.029008786932870154,0.02179235176407426,-0.04022997866000981,0.03155414165874056,0.021613730011474045,-0.02182736244358824,-0.002881614749355451,0.034365820779858405,0.0013723650452398249,0.05939721120376416,-0.06676354195343108,0.07875844985313188,0.0407694156071844,-0.07725383341796786,-0.08150891846279441,-0.005298355234347185,0.03476276392877564,0.03665693913912366,-0.03825300552124844,0.05388784455676496,0.016683611768388718,0.01342014101144308,-0.0026466138770219133,-0.024949805372391384,0.0561849277452725,0.0051170282525335046,0.0007325063261630435,0.022873658511812143,0.027055621247881627,-0.0541072152749343,0.021053202853121993,-0.014228163694729009,0.044825118666288924,0.05483407299148526,-0.07452458191672373,-0.004812930167017095,-0.06717665639357542,-0.030232632849669525,0.043898908702019825,-0.03279703480684538
ABBV,2023,0.176629442479308,-0.11637695551967703,0.05104036010198771,-0.11436777470860618,0.02233191300478133,-0.1219626435245303,-0.25318343175363683,-0.13049306928811052,0.03138612353902677,-0.13067416418607875,-0.05375335600837479,0.010843562991561083,-0.05592317758403067,0.08185672922760573,-0.05884770009315179,-0.06652480782848846,-0.07835467300717044,0.095877325334121,-0.10518036375582882,0.1301848409966654,0.04073795145331129,0.18113569938794138,0.13390825331958486,-0.01462055876801167,0.02635806437196254,0.055411721013566756,-0.02979372507607227,0.011715317370388736,-0.03413413477458195,-0.030869523706494026,-0.11700951911020707,0.06208653510567662,-0.007513843095474565,0.029309861425202765,0.008329509207932897,-0.018816599030389104,0.03599276664507552,-0.068524639791168,0.025383204969889408,0.16368210844924444,-0.019151410208562713,-0.009508327010423812,-0.12374128975956566,0.027013202988985414,0.07342392489768407,0.011642520438614232,-0.025201671641854124,-0.07054279398562868,0.015339430450498593,-0.049316257793466815,0.10965769930148533,-0.007560451753323276,0.01913001494340314,-0.006825132734619954,-0.012710313643883833,0.025404895764705462,0.0560890574011191,0.053645099170408266,-0.11767868552688537,0.021306907518520584,-0.0278526659180945,0.022229938875684474,-0.04258533827716638,0.03188181657007581,0.024210447025928485,-0.02021633340523987,-0.0070769995100195115,0.03448741843450412,0.00035748123688954654,0.06085811673315126,-0.06600422438436047,0.07699176426922892,0.03686316611881386,-0.07776413392905984,-0.08253658056682645,-0.00464275607750879,0.032535686247217976,0.036968658910771265,-0.0407283303838505,0.05348423423415817,0.013909771247176916,0.014328528712225253,-0.004022123482738469,-0.02939249229354757,0.053742612651379924,0.006067466107029822,-0.00029453119269461065,0.018648245927370605,0.023495716561755964,-0.05514674149771306,0.021837531092544132,-0.012156903957298517,0.04254955565884677,0.05347100802318422,-0.0744822609131561,-0.0019647762861495326,-0.06651462363959305,-0.03222895701182125,0.04565597312826413,-0.03360455787594973
ABNB,2021,0.25407599566134526,0.04808255695096633,-0.02646667544795958,0.02717486470013922,-0.007467245422476874,-0.018324812856649168,0.04588602761788609,-0.01167820861884365,-0.1130512207601001,-0.009540503439772958,-0.044954738230344994,-0.012151900155480339,0.03215842727381107,0.008038126181294519,-0.009711888022539245,-0.02346321340582899,0.051378493610086215,0.013006565675276789,-0.08867909747744196,0.027505272684870047,0.0010861875984355999,-0.007721318796280603,0.005927702115123987,0.03132915571329329,0.04347089466786321,-0.043808507373237125,-0.07561618515432271,-0.06780851115335415,0.029241254751141924,-0.05270716861463842,0.04532237817898438,-0.029627231910977315,0.1026475079111305,0.02790365591145517,-0.03491718837061149,-0.014106672670097221,0.0031374923387056655,0.05944615943181536,-0.0006354806797987605,-0.03269627979529903,0.023640731824345496,0.0004967860329476183,-0.02350814943155946,0.02788898081789559,0.01644684907350163,-0.08231212710956237,0.05001350698499982,-0.03630280488555011,-0.00782578570146012,0.0120215859485407,-0.010366868157526936,-0.05229859510660711,0.02685324122654469,-0.008345175006271997,-0.02484820439115352,-0.013879681291577472,0.03839527789987079,-0.024133262430928712,-0.0387994026271862,0.0022872763913098855,-0.001818905446613571,0.004194259819309633,0.053282639698862676,0.0009518000725223081,0.07798253620029112,0.06750168105113243,-0.00697598322364481,0.022656633450002628,-0.010165846125638887,0.0009349402360994372,0.03070332401800384,-0.010272391634983509,-0.004992353233038511,-0.05469213179785813,0.011925714767746854,-0.010196752330972631,0.04951763987434547,0.031391597182845225,-0.020968943980288254,-0.039297452301075224,-0.00855310709140513,-0.005278851634378559,0.0228492044004689,0.02122902532825715,0.008272605556355995,0.004685770140206634,0.0028749176203040397,0.025491456804906668,-0.009293877467710277,0.029752037336440242,0.030032157709091935,-0.012786280291915352,-0.0019351898991216818,-0.0077052805862073675,-0.029032200523224597,-0.015387435184182658,0.029919171112300115,0.07416357227734253,0.002999506584070817,0.02200447814301927
