ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,best_theme,best_score
A,2019,0.0017497001816172506,0.017460836509639508,0.02908117200444335,0.0748773056758446,0.0406152936288113,0.020073958041546536,0.02591266571961061,0.04054712956385371,0.08672932263300547,0.05091729052103438,0.0374224503088323,0.03016041837639415,0.02637439191557652,0.018874226499247967,0.01594106680135426,theme_8,0.08672932263300547
AAPL,2019,0.0024410999654624825,0.01438333596697377,0.022535415700472673,0.027815159511884246,0.05448364067756824,0.02397257107120716,0.03545317378466761,0.13695185983409394,0.027469252246154166,0.022308093640909275,0.026504878717911726,0.140489149312454,0.2021780789910666,0.05120843807068522,0.03860061995720316,theme_12,0.2021780789910666
ABBV,2019,2.82057096755836e-309,3.1737100569351014e-308,4.0885498430898184e-308,1.0,4.848096201522794e-308,2.8515529444350454e-308,3.290795826453083e-308,3.8251725421915346e-308,9.792307020257193e-308,7.624630367935369e-308,4.802208877053935e-308,3.56677902095417e-308,3.006462614107595e-308,2.1764526524808244e-308,1.881497849479439e-308,theme_3,1.0
ABT,2019,0.0038521321027360834,0.05503147632067371,0.0533911589296622,0.2108861121262956,0.0565560130816255,0.037480611714626244,0.04021839420637475,0.041158816971786895,0.09053019832447744,0.10893914632259132,0.06081911649402628,0.04162051642963118,0.03458955658363237,0.026013029965522537,0.02282842616669131,theme_3,0.2108861121262956
ACGL,2019,0.003223008912760545,0.019912552675592225,0.03162754054297511,0.03539438089354581,0.0690997438029384,0.035752152019841915,0.05352302987180107,0.11995205368225424,0.03569869888284508,0.030062948106314276,0.03800761294329178,0.14922106074176514,0.1980259496531725,0.08612490328615684,0.06275619785988105,theme_12,0.1980259496531725
ACN,2019,2.56587846168924e-309,1.2312017069037816e-308,1.694331336282066e-308,1.9554939020787197e-308,2.6910262355117913e-308,1.7346719253952025e-308,2.2672690358446037e-308,8.093679185078802e-308,2.006430781601465e-308,1.7048377946817813e-308,1.9223960372965986e-308,4.858518150887663e-308,4.878929797513887e-308,1.0,1.8085920576402847e-307,theme_13,1.0
ADBE,2019,0.0027322666525226354,0.012881329472174156,0.01790538693625556,0.02067081837467952,0.02800588499409236,0.018196487936759532,0.023791251775003075,0.08857013725817728,0.02126969430674151,0.018214017436193202,0.020409151033940632,0.046841946256674545,0.048590321152763204,0.25590329162416764,0.25461633974394593,theme_13,0.25590329162416764
ADI,2019,0.003316464110814368,0.023097206795648088,0.03522448493351344,0.040756366877391224,0.09499683202362351,0.07371675657685563,0.2643746027795649,0.06504813174127366,0.03767578222519401,0.034465380314885594,0.04612829487017266,0.06738788385125757,0.06326342613117755,0.03358334822970141,0.02778936756834974,theme_6,0.2643746027795649
ADM,2019,0.0034402899432100084,0.04372124058202216,0.062165446026447496,0.09046990839130516,0.04816853190578515,0.03354037684605344,0.035518339430992356,0.03405798260652333,0.0895681753798589,0.2933575572001169,0.07307091068179383,0.033919044582510875,0.029472389048049615,0.022315674446911498,0.019858707062859474,theme_9,0.2933575572001169
ADP,2019,0.0024894541280364147,0.023669743571136777,0.050793051463781526,0.11837466421989956,0.05672210417052815,0.02711003950154719,0.033266924301224715,0.042423106305062006,0.23651601097365527,0.09154491664418693,0.05873491875986008,0.036576661604590124,0.032792143960608706,0.022459941046081223,0.01922083960505648,theme_8,0.23651601097365527
ADSK,2019,2.648868509667793e-309,1.931651785699087e-308,3.0731435706759116e-308,4.506163544055347e-308,7.2722975121139425e-308,3.156908554418815e-308,4.72691046711926e-308,1.0,4.4291308682386196e-308,3.4115189209989704e-308,3.740069600070531e-308,1.2303300693772053e-307,9.793146056562087e-308,5.15424916078607e-308,3.8125413942825915e-308,theme_7,1.0
