ticker,year,x,y,cluster
A,2019,-0.589124,-2.6085796,-1
AAPL,2019,-3.753147,-4.4453664,12
ABBV,2019,-0.011629007,-2.2576418,3
ABT,2019,-0.24194352,-1.812782,3
ACGL,2019,-4.087599,-4.667531,-1
ACN,2019,-5.349585,-4.8721023,13
ADBE,2019,-5.3404655,-5.1498337,-1
ADI,2019,-3.7660723,-2.7630053,6
ADM,2019,-0.79079944,-2.0273633,-1
ADP,2019,-0.27428207,-3.133559,-1
ADSK,2019,-3.8348591,-3.7381792,7
AEE,2019,-0.7508376,-0.41725436,1
AEP,2019,-2.4628,-1.3168501,5
AES,2019,-3.3620846,-1.3231981,5
AFL,2019,-3.8592687,-5.052347,12
AIG,2019,-0.8284843,-3.4255555,-1
AIZ,2019,-5.5163517,-5.61673,-1
AJG,2019,-0.7807063,-3.3822124,-1
AKAM,2019,-4.717077,-5.1434474,-1
ALB,2019,-1.2942909,-2.590703,-1
ALGN,2019,-2.5599692,-2.7696075,4
ALL,2019,-0.8338457,-0.36813238,1
ALLE,2019,-5.1924253,-5.76673,14
AMAT,2019,15.905534,8.436258,0
AMCR,2019,-3.0021024,-2.677027,-1
AMD,2019,-4.3519993,-5.196245,12
AME,2019,-1.511184,-3.3463995,10
AMGN,2019,-0.32135856,-0.36279765,1
AMP,2019,-1.8729632,-3.9566865,10
AMT,2019,-3.554382,-2.3741052,6
AMZN,2019,-3.1959472,-3.7418957,-1
ANET,2019,-5.3975854,-5.821901,14
AON,2019,-0.64756113,-3.3822272,-1
AOS,2019,-0.73805237,-2.6214125,9
APD,2019,-5.5415235,-5.5473127,14
APH,2019,-0.15942064,-0.24331559,1
APTV,2019,-3.3140802,-3.4386673,-1
ARE,2019,-2.6055267,-1.942391,-1
ARES,2019,-5.3805,-4.7472587,13
ATO,2019,-2.8863952,-1.6466647,-1
AVB,2019,-3.8823166,-3.9960105,11
AVGO,2019,-3.34362,-3.782943,11
AVY,2019,15.917844,8.425186,0
AWK,2019,-2.6341696,-2.7799375,4
AXON,2019,-4.0470567,-5.063037,12
AXP,2019,-1.4428619,-3.5712657,10
AZO,2019,-0.12550806,-0.46155286,1
BA,2019,-0.52123946,-3.062251,-1
BAC,2019,-1.5774747,-3.6908371,10
BALL,2019,-1.5718013,-2.3420432,-1
BAX,2019,-3.734854,-3.486082,11
BBY,2019,-1.2591887,-2.9061835,10
BDX,2019,-1.6429403,-3.3144302,10
BEN,2019,-4.226227,-4.4990096,-1
BF-B,2019,-5.3307533,-5.4685,-1
BIIB,2019,-5.3593974,-5.7548733,14
BK,2019,-1.4492111,-3.8046823,10
BKNG,2019,-4.9013696,-4.3318725,7
BKR,2019,-1.8374206,-2.51796,-1
BLDR,2019,-3.596045,-3.76553,-1
BMY,2019,-0.37809938,-0.1873167,1
BR,2019,-4.589701,-5.130202,-1
BRK-B,2019,-3.8432143,-2.2623546,6
BRO,2019,-5.247805,-5.392967,-1
BSX,2019,-0.0022920438,-2.2488976,3
BX,2019,-5.368568,-4.6608706,13
BXP,2019,-1.0723784,-4.4561305,2
C,2019,15.843756,8.396793,0
CAG,2019,-3.8176894,-2.6032753,6
CAH,2019,16.062687,8.5749035,0
CASY,2019,-1.5283555,-2.6504796,-1
CAT,2019,-1.5071274,-2.4913552,10
CB,2019,-1.347828,-3.7730482,-1
CBOE,2019,-1.8426774,-3.3495932,-1
CBRE,2019,-1.3003609,-3.9394014,10
CCI,2019,-5.547988,-5.1888676,13
CCL,2019,-0.60723966,-0.9150487,-1
CDNS,2019,-3.4234161,-3.538771,-1
CDW,2019,-3.7452984,-4.9506454,12
CF,2019,-3.1452022,-2.3281913,-1
CFG,2019,-3.489463,-2.264794,6
CHD,2019,15.888458,8.414384,0
CHRW,2019,-0.67346203,-2.9727259,9
CHTR,2019,-2.9898849,-3.6610548,11
CI,2019,-3.949139,-3.2571976,-1
CIEN,2019,-5.561462,-5.0304947,-1
CINF,2019,-3.51335,-2.4448466,6
CL,2019,-1.5331552,-2.8544214,-1
CLX,2019,-3.8224244,-3.7626777,11
CMCSA,2019,-3.4911807,-3.5473342,11
CME,2019,-3.2354164,-3.5424476,11
CMG,2019,-4.758012,-5.306875,-1
CMI,2019,-1.1818002,-1.5986484,-1
CMS,2019,-4.075613,-3.7460406,-1
CNC,2019,-5.466746,-5.288427,13
CNP,2019,-2.8259053,-1.4306365,5
COF,2019,-3.4773164,-1.3502103,5
COHR,2019,-2.018189,-3.3955812,-1
COO,2019,-3.6540189,-3.9138157,11
COP,2019,-3.554499,-2.0425115,-1
COR,2019,-0.15358247,-1.7863158,3
COST,2019,-3.3954418,-4.6273885,12
CPAY,2019,-5.1603723,-4.844155,-1
CPB,2019,-5.018233,-5.152664,-1
CPRT,2019,-0.30256414,-0.33391234,1
CPT,2019,-0.8325388,-4.2351003,2
CRL,2019,-5.6506267,-5.5439534,-1
CRM,2019,-5.569483,-5.9717054,14
CRWD,2019,-3.9954224,-4.28624,-1
CSCO,2019,-4.313426,-4.3013153,-1
CSGP,2019,-1.677906,-3.8163278,10
CSX,2019,-1.1118264,-1.4805816,-1
CTAS,2019,-0.89310044,-2.8382409,9
CTRA,2019,16.002354,8.567163,0
CTSH,2019,-0.31260806,-2.651567,-1
CTVA,2019,-2.7393863,-3.236261,-1
CVNA,2019,-4.0958614,-5.0112734,12
CVS,2019,-0.061589632,-2.314583,3
CVX,2019,-1.5998352,-1.5154481,-1
D,2019,-2.3414915,-1.3727044,-1
DAL,2019,-2.8757217,-2.6831205,4
DD,2019,-2.220144,-3.6500053,-1
DDOG,2019,-5.3143163,-4.752968,13
DE,2019,-4.8269763,-4.1547875,7
DECK,2019,-3.5368812,-3.2791584,12
DELL,2019,-2.3228152,-2.91815,4
DG,2019,-3.6216886,-2.3038926,6
DGX,2019,-0.2936548,-0.4822928,1
DHI,2019,-0.85412806,-4.287187,2
DHR,2019,-3.6269093,-4.3288527,-1
DIS,2019,-0.35984898,-4.0265145,-1
DLR,2019,-0.58549345,-3.4666903,8
DLTR,2019,-4.7947392,-4.960518,-1
DOC,2019,-2.6580973,-3.4397948,-1
DOV,2019,-1.5258253,-3.6633964,10
DOW,2019,-3.4912665,-2.549341,6
DPZ,2019,-1.7065178,-2.4724846,-1
DRI,2019,-4.327326,-3.9144578,7
DTE,2019,15.916712,8.460443,0
DUK,2019,-2.4595473,-1.4427243,-1
DVA,2019,-3.131575,-3.4090776,-1
DVN,2019,15.95179,8.645219,0
DXCM,2019,-4.0532393,-4.785216,12
EA,2019,-5.8244133,-5.3401456,14
EBAY,2019,-5.5794015,-5.030813,13
ECL,2019,-2.7517421,-3.3189778,-1
ED,2019,16.014786,8.598506,0
EFX,2019,-0.19566466,-3.133595,8
EG,2019,-2.5959368,-3.1573637,-1
EIX,2019,16.038673,8.582332,0
EL,2019,-3.538512,-4.9441056,12
ELV,2019,-2.88687,-3.8359349,-1
EME,2019,-3.3922071,-4.377716,12
EMR,2019,-0.65899396,-2.117915,-1
EOG,2019,-1.7660621,-1.5569494,-1
EPAM,2019,-2.4606454,-3.214265,4
EQIX,2019,-5.524071,-5.7669554,14
EQR,2019,-1.3917038,-4.3658533,-1
EQT,2019,-2.0280921,-1.9591174,-1
ERIE,2019,-1.180737,-4.02437,2
ES,2019,-2.3800857,-2.010671,-1
ESS,2019,-3.9986348,-4.145262,11
ETN,2019,-1.0011822,-3.0523388,-1
ETR,2019,15.8112335,8.640159,0
EVRG,2019,-4.3136463,-3.722652,7
EW,2019,-4.1804123,-3.996397,-1
EXC,2019,-2.4802697,-1.2704207,5
EXE,2019,-2.200597,-1.8316133,-1
EXPD,2019,-3.9453382,-5.164362,12
EXPE,2019,-3.828163,-4.752192,12
EXR,2019,-4.711105,-4.5081396,-1
F,2019,-3.5676577,-1.8772316,5
FANG,2019,-1.7922797,-1.690894,-1
FAST,2019,-3.0637553,-3.3310795,-1
FCX,2019,16.12756,8.641295,0
FDS,2019,-2.3103426,-2.6097238,-1
FDX,2019,-2.6689343,-3.1386464,-1
FE,2019,-0.8042414,-0.4129367,1
FFIV,2019,-4.926003,-4.7569914,-1
FICO,2019,-4.659426,-4.950913,-1
FIS,2019,-0.20531352,-3.0751908,8
FISV,2019,-5.462246,-5.0433407,13
FITB,2019,-3.7282174,-1.482956,5
FIX,2019,-5.084414,-5.4802313,-1
FOX,2019,-0.34417543,-4.078745,-1
FOXA,2019,-0.38852423,-4.124026,-1
FRT,2019,-5.2191586,-4.8326306,-1
FSLR,2019,-2.6289368,-2.0993168,-1
FTNT,2019,-2.5725286,-4.6047697,-1
FTV,2019,-3.7221203,-4.436695,-1
GD,2019,-0.30875742,-3.092396,-1
GDDY,2019,-5.448048,-5.812321,14
GE,2019,-3.4118679,-3.3125255,-1
GEN,2019,-2.871988,-4.062345,11
GILD,2019,-1.6602848,-2.7574008,-1
GIS,2019,-1.2291173,-2.4163578,9
GL,2019,-0.9664637,-3.8052928,2
GLW,2019,-0.74989396,-2.1048162,9
GM,2019,-3.3957164,-1.2746749,5
GNRC,2019,-4.008829,-4.155589,-1
GOOG,2019,-3.6543705,-4.095239,-1
GOOGL,2019,-3.6683753,-4.103251,7
GPC,2019,-1.0714036,-2.4264271,9
GPN,2019,-4.251081,-3.5817914,7
GRMN,2019,-3.5779064,-3.5922706,-1
GS,2019,-1.1430476,-0.6830342,1
GWW,2019,15.938734,8.481285,0
HAL,2019,-2.1542394,-2.350252,-1
HAS,2019,-3.4891238,-4.8362846,12
HBAN,2019,-3.1980999,-1.6435273,-1
HCA,2019,0.023865106,-2.7186835,3
HD,2019,-2.7605262,-2.1462312,-1
HIG,2019,-1.1155605,-3.972749,2
HII,2019,-1.5337318,-2.6866148,-1
HLT,2019,-5.444082,-4.6161857,13
HON,2019,-2.2214727,-2.5619864,-1
HPE,2019,-3.2754984,-4.633431,-1
HPQ,2019,-3.448152,-4.06593,-1
HRL,2019,-1.173868,-2.362666,9
HSIC,2019,-0.06561665,-2.40281,3
HST,2019,-4.081634,-3.2223482,-1
HSY,2019,-1.3505503,-3.6448739,10
HUBB,2019,-1.2762321,-2.924345,10
HUM,2019,-3.9372401,-4.3664274,-1
HWM,2019,-1.7410269,-3.908395,10
