ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,best_theme,best_score
A,2021,0.009702903060755762,0.01446578142470677,0.0020110946747129645,0.0020208917504078135,0.010470242016381335,0.010225330007384032,0.02033861985652975,0.011137405835367152,0.010458874447248273,0.010479510482139083,0.0152521134350391,0.020548108110521497,0.029662110699400744,0.02421721210266073,0.05068273423985788,0.013040184665175593,0.022354400497957762,0.039888845749349394,0.037841146037547,0.046206997991464216,0.017626420549488337,0.021194595602107257,0.03626278692739953,0.024066449445109588,theme_14,0.05068273423985788
AAPL,2021,0.010324796150316508,0.011070103062244492,0.0019083829759402617,0.0019167579482321736,0.00941401422647654,0.009279289028270925,0.023452702512131454,0.008748457862342065,0.008233668848181087,0.008072169674538863,0.012714596758653803,0.015385859886545441,0.036344298743931205,0.05090685258507055,0.02009840018627656,0.016011184026626716,0.02457155604370671,0.03139744409213114,0.03052659273612831,0.04609898267944575,0.025428486042226608,0.039681991206576284,0.0559374079571349,0.0684774884720003,theme_23,0.0684774884720003
ABBV,2021,2.15014741839877e-308,4.0527600613804966e-308,4.756034636051305e-309,4.779679674730813e-309,2.342100875673422e-308,2.251227555013164e-308,3.786383887771781e-308,2.9956145317565746e-308,2.7608561349103614e-308,2.820609180391755e-308,2.390737901994406e-308,2.998759053765137e-308,3.9183268331535774e-308,3.467657353793826e-308,1.0,2.1185540675809574e-308,3.651583394729676e-308,6.061803513457619e-308,3.8690506815546126e-308,4.856854845783913e-308,2.750831549367964e-308,2.965599761116613e-308,3.7914761652392274e-308,3.152858469979436e-308,theme_14,1.0
ABNB,2021,0.007185565112027389,0.007169078711224472,0.0010866113871405118,0.0010914862696811962,0.006475456904747159,0.006300258672403329,0.01733820932023008,0.0055737493679982346,0.005298681346962723,0.0051439103501316075,0.008715547733327653,0.009767417173410904,0.02673362919192,0.018124112312463875,0.010571054057727937,0.009079010222937703,0.027661266124897808,0.021837681534913514,0.013190740475061791,0.021582870678618315,0.01434378465582231,0.02047117457056728,0.01444574059256633,0.019844146023934025,theme_16,0.027661266124897808
ABT,2021,0.011394134090795541,0.019190237043084122,0.002577791035946969,0.0025905088690285896,0.013003293686287042,0.012476197314661975,0.020107628835041143,0.014556610254667344,0.013534290099534862,0.013752668201721979,0.013846763963910146,0.01770959893070481,0.024672529088341954,0.01972205067356269,0.11543057980510539,0.011445718596596318,0.022476310396924628,0.03913243978385291,0.024247566925965643,0.031022458122359535,0.015016864761972929,0.01678076667299701,0.022890909107539183,0.01837771739245158,theme_14,0.11543057980510539
ACGL,2021,0.019951903747948963,0.011181738444128175,0.0021327339376077787,0.0021391443455062013,0.009323380901670102,0.009380066023784722,0.023482710018947712,0.009512804734925363,0.009128195797988974,0.00873875919670159,0.011006920801160032,0.011839897554640733,0.016495095432262984,0.020146032207346662,0.013164293947075004,0.12250319053422819,0.014790658800459482,0.01599656190002045,0.01418249517528588,0.01760093346720399,0.07315423592687899,0.038825558702160465,0.016803370435200294,0.022604148358695498,theme_15,0.12250319053422819
ACN,2021,0.023463993552212414,0.01618134094821193,0.0030945363592306766,0.003105665477309131,0.014669616419543197,0.014674920021260996,0.04042756371883741,0.013115000868969558,0.012471379502889032,0.012026950339355046,0.01571858453805832,0.017558100429649375,0.02984427297765636,0.04062482490638241,0.019999330673091568,0.05036368062403678,0.024159584901794005,0.026987962762762326,0.024064369597616153,0.0324233516833718,0.21911483430682174,0.23284309041321688,0.03286025671945938,0.05496654158995751,theme_21,0.23284309041321688
ADBE,2021,2.4703824567245896e-308,2.2570611614228827e-308,4.87397825446695e-309,4.89384540367708e-309,2.152607345819821e-308,2.1391019550741224e-308,4.491077696307919e-308,1.84537693270513e-308,1.7526781901511995e-308,1.716112479923153e-308,2.615727152210769e-308,3.022301781188702e-308,6.765866054813991e-308,1.0815200400939968e-307,3.4249940405078834e-308,4.041094281995674e-308,4.3064293767336307e-308,4.774477825350715e-308,5.824072401217094e-308,6.839656354189123e-308,6.287895669394303e-308,1.2181032740499315e-307,1.2070915200179996e-307,1.0,theme_23,1.0
ADI,2021,2.0528215638837935e-308,2.270613532807285e-308,4.788110832635127e-309,4.809762734220937e-309,2.1431314943048645e-308,2.137338017595558e-308,3.605987679110678e-308,1.864858485291669e-308,1.7729458627163385e-308,1.751522536999307e-308,3.0187621104287394e-308,3.836270643377443e-308,6.310385190682615e-308,6.551435580637816e-308,4.28795478292478e-308,2.9993967360000337e-308,4.159626250101721e-308,5.26710084168566e-308,1.1971032941201517e-307,9.230924318070743e-308,4.1788897500331807e-308,6.077032500507423e-308,1.0,9.715432058442147e-308,theme_22,1.0
ADM,2021,0.011377526117191271,0.015194962327756517,0.002274117382031971,0.0022849103649402744,0.014833429741556678,0.014147913560106622,0.021130844676827056,0.011650650653321026,0.011080917728390581,0.010874961815494858,0.017379035573323983,0.022624340572188633,0.038172859865470934,0.020048132497820937,0.02804102893725391,0.011933409523191413,0.045487784833581575,0.23326519700625564,0.028449716470919054,0.052515072151653346,0.016466371613813206,0.01976476881071847,0.022668849539198736,0.021189419690325458,theme_17,0.23326519700625564
