ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,best_theme,best_score
A,2019,0.0022137294147231853,0.01836423799518537,0.00727631805274991,0.011061269114568626,0.010454856633225032,0.0113652607061695,0.010393153140552582,0.01441337774482565,0.021067257426161903,0.010116394612447684,0.01535814409777943,0.01769282973894212,0.029131758703352165,0.03921328384624231,0.05504925856587043,0.015956837139271728,0.027897497345337887,0.0158111166176427,0.01877657827862904,0.035927577563184855,0.03964209761557807,0.027531037529816112,theme_14,0.05504925856587043
AAPL,2019,0.002068323041527956,0.020506241256116504,0.009110865238246483,0.010881715410785269,0.010494372522267923,0.019225066139958256,0.015290829515672406,0.026962783874394974,0.06286966631026314,0.014231868356630017,0.029869745081250933,0.03251541243143652,0.03804810884597551,0.019643558272147296,0.020468036154324548,0.026931296811196864,0.02993559247938429,0.044963996685663365,0.0631548897889698,0.06763374726112024,0.037699276366591615,0.031914910657825715,theme_19,0.06763374726112024
ABBV,2019,4.897586166651785e-309,3.506733911991274e-308,1.494856431773134e-308,2.1859352525873894e-308,2.0461070396644625e-308,2.069800227685457e-308,1.876767017411272e-308,2.4987339578242863e-308,3.221949068336789e-308,1.8403297439214514e-308,2.523561939151663e-308,2.7721654426929236e-308,4.145379120604224e-308,1.891459279139434e-307,1.0,2.9310832853027737e-308,3.887382170811047e-308,2.5492770095948206e-308,2.8435133612801827e-308,4.3094435642856448e-308,5.630018945449595e-308,4.955645844602431e-308,theme_14,1.0
ABT,2019,0.003101032722850901,0.023903278351507257,0.00986682073863268,0.01426793080235147,0.01331097783879814,0.013626593306367661,0.012167608618491059,0.016499493943467915,0.021440487527510273,0.011824859126746775,0.016348383075956287,0.01814372044991172,0.027684701021223824,0.1679873020904032,0.22624613631305568,0.01997670064725262,0.024997197185306453,0.016593776540929087,0.01839860234538225,0.027500366220364347,0.040769328800796686,0.03531184874529727,theme_14,0.22624613631305568
ACGL,2019,0.0024964076052183567,0.012826953659866833,0.010015025656319405,0.010160285348144909,0.009434952100935427,0.02203805816629115,0.025530581891934145,0.04955016963613934,0.013992299460159677,0.09980243888303089,0.0420579079059536,0.012198733502774192,0.011812771836638482,0.009945849079357827,0.009621983271098776,0.011253910148786132,0.010906303036057378,0.015104915137347352,0.01715511336439884,0.013695629221165462,0.011375672767968317,0.010860968254695992,theme_9,0.09980243888303089
ACN,2019,4.79643134374809e-309,3.1024441020968476e-308,2.0108377212985426e-308,2.152927436615805e-308,2.027526325612418e-308,5.348658727889986e-308,5.549560898895041e-308,1.487783562472239e-307,4.374169791930263e-308,7.216048809902644e-308,1.0,3.571000116214043e-308,3.4089130573548043e-308,2.5600669716183976e-308,2.51285869788162e-308,2.971936199722101e-308,3.0925361574194053e-308,5.105147013709449e-308,6.604785529820883e-308,4.476252795496865e-308,3.2213316112836693e-308,2.9620082467468784e-308,theme_10,1.0
ADBE,2019,0.0025985838909343595,0.019482362153088087,0.009877376368159893,0.011852703764835024,0.011482240496354617,0.022031026744781176,0.01845833237585458,0.032101097910983735,0.04212213412925931,0.017447960410471003,0.045408538550305584,0.03001997433030496,0.029067033067561195,0.016267950868026695,0.016751312892454583,0.021850525928124354,0.026622787264043574,0.06629321475207656,0.36261427227576626,0.061438516098621415,0.027513859741278193,0.02358660690732486,theme_18,0.36261427227576626
ADI,2019,4.63621577798459e-309,4.041236735667065e-308,1.5660019344556173e-308,2.301980878132479e-308,2.259228030742614e-308,2.7696425202257864e-308,2.5775263839633355e-308,3.7049244822995106e-308,6.951939678002321e-308,2.467676356163982e-308,4.473389722346763e-308,5.585325992286539e-308,7.76418924388897e-308,3.998859229559707e-308,4.537215623629956e-308,3.8487146070638064e-308,8.035694322043646e-308,5.437822455434582e-308,8.494817023756538e-308,1.0,9.07532751163176e-308,5.432950108167793e-308,theme_19,1.0
ADM,2019,0.0026844825671380047,0.03117346715008067,0.0105550682117234,0.01532901922509634,0.014094018374285042,0.01611429372440595,0.012639604921119608,0.019510670666520288,0.04139097273160348,0.01187781502777495,0.018052287925940047,0.025500306199712504,0.04760023147148259,0.030981511901492648,0.031124025115348238,0.036496274455992295,0.03320202012441478,0.02255852093166379,0.024076904365366136,0.033184637612910774,0.155228035164741,0.21621319220348476,theme_21,0.21621319220348476
ADP,2019,4.77750975024539e-309,3.16464778797011e-308,1.9955900465389987e-308,2.180685754765183e-308,2.067120420166866e-308,5.270543353791608e-308,5.89620912144842e-308,1.417549315666782e-307,4.471757021435953e-308,6.927721427427355e-308,1.0,3.6907912931456773e-308,3.5088366873940545e-308,2.5540270917097803e-308,2.5122493771497993e-308,2.970494171081913e-308,3.165127428410702e-308,5.123635702103455e-308,6.856265765529324e-308,4.575282039014742e-308,3.2709380371531873e-308,2.96525435416314e-308,theme_10,1.0
