ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,best_theme,best_score
A,2021,0.02505384158686844,0.03589632352504886,0.001957372417106035,0.0019606464195755266,0.0557645500365409,0.08025898189338822,0.05389996599673369,0.043565472600743976,0.11295332467290047,0.05327088045907715,0.10612542810575316,0.0412464730256979,0.0474365643279281,0.04828732382335399,0.03660432792317155,0.026402392470302797,0.021041707957231686,0.02649655415842401,0.023063045742584786,0.01984026791663293,0.020425649997137064,theme_8,0.11295332467290047
AAPL,2021,1.6404327749425486e-308,6.227778589923586e-308,2.873180945341547e-309,2.877915628923977e-309,4.0612625919759395e-308,3.7616233205286836e-308,3.0365790452560556e-308,4.0622501819569503e-308,2.833053389991723e-308,3.9318342398193354e-308,3.5260886875220915e-308,4.974146531298356e-308,5.847950372512481e-308,8.012236294072112e-308,5.115881296431992e-308,2.9316982591437863e-308,1.0056062607626718e-307,1.0,1.7949028988498447e-307,7.001493957270112e-308,7.102848090767581e-308,theme_17,1.0
ABBV,2021,3.016438535148989e-308,3.3456135747631264e-308,2.829607203272335e-309,2.833568659009143e-309,4.783564603771178e-308,8.6373960086702735e-308,1.0,7.703764921865231e-308,7.162234864123597e-308,8.350455312247748e-308,1.1229295875355416e-307,5.336777250367863e-308,6.397324807563595e-308,4.710606517364423e-308,3.67427648158926e-308,2.9125412862667306e-308,2.339940738269506e-308,3.032866109631402e-308,2.630964075926117e-308,2.1810390725050375e-308,2.223098402699716e-308,theme_6,1.0
ABNB,2021,1.510824903797136e-308,4.700393978586307e-308,2.84908699099048e-309,2.85383019708048e-309,3.568301216373592e-308,3.262774250957171e-308,2.694865681299555e-308,3.584370605615098e-308,2.526024589495905e-308,3.469284751658872e-308,3.0810284923150605e-308,4.1681758462343717e-308,4.756307328450207e-308,6.1642268224017805e-308,4.47968748140326e-308,2.7586449602746685e-308,1.3364411170313226e-307,1.0,1.5249699148037382e-307,9.0171602250724e-308,9.34059005235986e-308,theme_17,1.0
ABT,2021,3.518279991052475e-308,3.1061785513254976e-308,2.82625565081665e-309,2.83026879104617e-309,4.753855279305469e-308,7.633060302565947e-308,1.0,6.292796288180474e-308,8.652747518993724e-308,6.939854486747405e-308,1.0087410840929512e-307,4.5224893900420515e-308,5.207310641971333e-308,4.0899411338480964e-308,3.3966590361552127e-308,2.812242124353219e-308,2.1395148553768147e-308,2.698751941041471e-308,2.3766667495029523e-308,2.0124620378766784e-308,2.0512429827531705e-308,theme_6,1.0
ACGL,2021,0.009965366198848724,0.031109817468248365,0.001807367385532126,0.0018103529376510936,0.024723976392578517,0.023121059709265205,0.018748496124771568,0.025958468741801913,0.017221601186686173,0.02450855117158697,0.021703162428189388,0.031094707007428248,0.034153887321767315,0.04523715998538916,0.0317898098912146,0.01893450143929173,0.06547441981225632,0.27447299624386345,0.10540098893004017,0.046749704474024184,0.04709585703152746,theme_17,0.27447299624386345
ACN,2021,0.010066331452185941,0.03832949439321463,0.0017797296053857418,0.0017830519573281028,0.025118033632312752,0.02129779779967103,0.01742762221763985,0.021397690998944008,0.017376550288122624,0.021114365465427172,0.019675299949273792,0.026522935240888987,0.03141863821888109,0.044880719388169274,0.03213047857735379,0.018709105680949,0.09331990630600843,0.07808232435243477,0.0884095251667319,0.07667555649226089,0.07671277261362217,theme_16,0.09331990630600843
ADBE,2021,0.010345024681041046,0.04428999454485863,0.0018681153706910155,0.00187153507858507,0.02388162651475046,0.021290394791421117,0.01795918608824071,0.020973343405192524,0.01841633597145312,0.021246732851296874,0.020109583449884814,0.02456070114946606,0.02962632383722705,0.0370780149139198,0.028085301765332107,0.017824662990157284,0.09259195859112725,0.06224922420718425,0.16779334269844198,0.08203093108819984,0.0819871770888062,theme_18,0.16779334269844198
ADI,2021,2.1893970141087e-308,4.2942433243863334e-308,2.85058263724898e-309,2.85566592872169e-309,9.388384657407862e-308,5.778626710057627e-308,3.834751935388468e-308,5.648208887395722e-308,3.8787211661219764e-308,4.947980451458342e-308,4.586472918569263e-308,9.596904238062021e-308,7.18063512708209e-308,1.2003545957817059e-307,1.0,6.996056070950566e-308,4.1622518763788025e-308,5.395367618856697e-308,4.4200006060930457e-308,3.878800103215309e-308,3.982759541199526e-308,theme_14,1.0
ADM,2021,0.03150691228798847,0.027581250909469626,0.002336440127889205,0.0023399817243606146,0.04488974839746727,0.07649618008687382,0.16599658419499186,0.05231331600293572,0.12275122879534832,0.06792206704397044,0.12797557273757393,0.038686432161268464,0.0441589119508089,0.03607359567835389,0.030288578051551194,0.024920542442948123,0.018512961982109527,0.0232260855000177,0.020483263888487757,0.017447047206221016,0.01781700243380185,theme_6,0.16599658419499186
ADP,2021,0.023254013641636203,0.025085092787745053,0.0019347648302375313,0.0019378955456478616,0.04148966846045076,0.12149177858849138,0.053250455028450126,0.04427060865300931,0.14332834192444865,0.05033017273668326,0.0943713999417143,0.03643256296383235,0.0374764899356828,0.035567028236205965,0.02960720684763994,0.022050551762751686,0.016361834054666284,0.02048181993897708,0.018006991179271663,0.015457029317617072,0.01589385399738985,theme_8,0.14332834192444865
ADSK,2021,0.007945844600043394,0.02535890441816223,0.0015098043525399085,0.0015125229046946435,0.018608309903845942,0.016198971777516342,0.013570620328188475,0.01667481064625696,0.013423994872647985,0.016564259367829452,0.015226372948758386,0.01977851776182304,0.022961965562012514,0.02995065353920571,0.023175674990125836,0.01467478993954923,0.1541649307035254,0.08634301590897644,0.0643808571230518,0.10428558967087237,0.11735022973836533,theme_16,0.1541649307035254
AEE,2021,0.23732967268809055,0.018294535141712656,0.0023365668323172104,0.0023407196432401207,0.031741734391327533,0.027112998441392252,0.03198003371809472,0.022321012778238062,0.04083924334154906,0.024152298379184128,0.029575388288949817,0.021126780111254108,0.021491983141125298,0.02047695730836071,0.0206351329295903,0.020293092528867074,0.01239149113907844,0.014345570000620176,0.013064173930040288,0.011968656623749437,0.01217833820666627,theme_0,0.23732967268809055
AEP,2021,3.318227543691679e-308,4.0033770023950353e-308,2.81271310690764e-309,2.817927311684614e-309,1.0,8.008755538987783e-308,5.56944140872586e-308,7.77277076441759e-308,6.530075907372588e-308,7.451298999565108e-308,7.430327485762941e-308,8.409730707029316e-308,7.12278240342401e-308,7.179495576743147e-308,9.873560377345723e-308,7.61524995722559e-308,3.208096704428432e-308,3.979595371485391e-308,3.394630077498436e-308,3.029020653484946e-308,3.0897274214447645e-308,theme_4,1.0
AES,2021,2.2120470259898745e-308,2.2228315482660144e-308,2.823677765218324e-309,2.828814309924486e-309,6.702728885753507e-308,3.4578644557387804e-308,2.67728384903129e-308,3.7202448227192025e-308,2.779912217987435e-308,3.203903284845078e-308,3.0402362641632463e-308,4.830010290451925e-308,3.488917051558682e-308,3.7224607225363894e-308,7.953266389793425e-308,1.0,2.155392283417925e-308,2.4992331169420596e-308,2.2300098327935915e-308,2.071005108040488e-308,2.118926421518554e-308,theme_15,1.0
AFL,2021,1.5365739432935764e-308,5.140291274442112e-308,2.86937004795607e-309,2.87398722376934e-309,3.5647878236002133e-308,3.373719022816151e-308,2.8037159117372045e-308,3.7309060557368843e-308,2.5915945628571836e-308,3.6139633591515663e-308,3.2126717838978094e-308,4.318104448601345e-308,4.9759366137585e-308,6.302590943862759e-308,4.400131233920243e-308,2.712214421273201e-308,1.1322043433353168e-307,1.0,2.106073643502199e-307,7.346644269993834e-308,7.40041540118867e-308,theme_17,1.0
AIG,2021,0.01907947125128807,0.02681937247483279,0.0018418644070783202,0.0018450513108265235,0.11044563501951739,0.059208366618461024,0.03486008924931896,0.05612779327948882,0.03851373035131628,0.048324690123809334,0.04706264690252088,0.07252469452906382,0.04788307810699293,0.051452453254632165,0.12299959893283216,0.05713037013968262,0.021603569596524215,0.027349684117621238,0.02341220014882163,0.020312617284064416,0.020818492371990387,theme_14,0.12299959893283216
AIZ,2021,1.34603257582881e-308,3.864852318183393e-308,2.83761239931157e-309,2.84277254196471e-309,2.7400790239261774e-308,2.471317894816151e-308,2.122306111570506e-308,2.5238231577105554e-308,2.120537476653301e-308,2.516523123755219e-308,2.348467848930328e-308,2.9217584891233364e-308,3.2783118840445815e-308,4.02835365981842e-308,3.3122237775640337e-308,2.25162457133534e-308,2.1737916169632544e-307,1.0399042680005536e-307,1.3046853671157906e-307,1.0,2.9635542884950482e-307,theme_19,1.0
AJG,2021,2.9818778131108733e-308,4.4073266104475104e-308,2.852648278902735e-309,2.85731700866373e-309,8.639138263481025e-308,1.0,9.677717315353747e-308,1.5269369289393125e-307,9.591741045725368e-308,1.3053274236051397e-307,1.5754251759014261e-307,1.2089565591676243e-307,9.677097852310112e-308,8.401043730750902e-308,6.820038514766361e-308,4.521729482666765e-308,3.2309622698590504e-308,4.3336396325541496e-308,3.6785519554859156e-308,3.0081591684780705e-308,3.0857450138026087e-308,theme_5,1.0
AKAM,2021,0.00943791202076488,0.03097751825696639,0.0017403974015161284,0.0017433359421441606,0.022841271232604893,0.02058384921868338,0.01711110841754575,0.02241977682866991,0.016125103379238028,0.022027762870808754,0.01952346861682883,0.025776605846016234,0.030848993085535886,0.03992292234628011,0.028071996284157755,0.017241649283299347,0.08740436866890501,0.29168679196378106,0.08221583497262491,0.05919997276658396,0.06161646859309001,theme_17,0.29168679196378106
ALB,2021,0.013408694449051522,0.01923393183230935,0.0014171391523038273,0.0014193452316408975,0.0348827854591147,0.08621995860590138,0.05108757215136785,0.08223280904623083,0.03684815900769112,0.1996609644798586,0.15012468546575547,0.050431801384864916,0.051754818890255,0.03462893850358273,0.027575287590518548,0.019515170291580994,0.014351367847160469,0.019653805913233704,0.01646767516230119,0.013224158922837292,0.01351988980350088,theme_9,0.1996609644798586
ALGN,2021,0.011564459416037585,0.021530702909810844,0.0013057798746339165,0.0013078978402618912,0.046116838161260394,0.052724846309222535,0.031065273756822324,0.051807624505332654,0.025206943435325063,0.04669460059238319,0.040637093836990934,0.15602116513211295,0.09064156531000853,0.06613682897515066,0.04694892777431437,0.025881926832755312,0.01795469927286245,0.025755781155972914,0.02054391511057704,0.016492721703550445,0.016818853675798915,theme_11,0.15602116513211295
ALL,2021,0.49462651248745665,0.02022396420867085,0.0027355768708766217,0.00274035382926437,0.03348586452608671,0.02952481514172809,0.0352687622136382,0.02477103631738503,0.04166819345237684,0.026003013856056374,0.03158110142075328,0.023554537520623274,0.023786685926564386,0.022638852794020357,0.023003761224165423,0.02300193534485089,0.014025501635101861,0.016128016432565808,0.014761046182929075,0.01358048974478961,0.01380895615171455,theme_0,0.49462651248745665
ALLE,2021,1.480912063984279e-308,5.187067700531418e-308,2.89366581269499e-309,2.89867203549802e-309,3.195247373472928e-308,3.0027650836826076e-308,2.5222502078342277e-308,3.092539464104919e-308,2.46493765424894e-308,3.033259523911553e-308,2.8421275659691744e-308,3.653943577173628e-308,4.07056159252388e-308,5.160433287957072e-308,3.952293320850584e-308,2.513504019713436e-308,2.0395096665139714e-307,1.3363538912917975e-307,1.0,1.003199705568288e-307,9.990509101784048e-308,theme_18,1.0
AMAT,2021,0.002008199992113935,0.0020638717167372595,0.3621393587225068,0.40066298621901925,0.002019516334035335,0.0020443488376413574,0.0020280586406411336,0.0020403159570270618,0.0020339294019308383,0.002031910330497416,0.002035535339250651,0.0020545387315640427,0.002026206702542465,0.002038283217184849,0.002041791535098615,0.002025560658935408,0.002050844235572804,0.002057439649677648,0.002076489480535352,0.0020356438345022093,0.002035897794888739,theme_3,0.40066298621901925
