ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,best_theme,best_score
A,2023,0.0021407553773011593,0.011830872691236765,0.011074429247490166,0.0143790329460417,0.016577342149492413,0.013152353200673001,0.020418060980580046,0.008604412697473307,0.008264731210326426,0.024705962385462937,0.04969123982139601,0.09766902368076037,0.0752834911229913,0.02763523197331388,0.029831820922937412,0.04497261831349247,0.021902471199703517,0.017755079808488113,0.014873013861830025,0.020293761139439554,0.020153543405461233,0.03333354454284525,0.020993408487109358,theme_11,0.09766902368076037
AAPL,2023,4.07104822246303e-309,1.855689699489902e-308,1.968529821966335e-308,2.935392140856361e-308,2.502861381603161e-308,2.128571893218e-308,5.30949277685943e-308,1.584517391410651e-308,1.5373924993438505e-308,6.357974639911176e-308,3.1020881014353743e-308,3.552675700852728e-308,3.2011755254766767e-308,5.359895041526866e-308,9.961018329910593e-308,9.090179367078686e-308,1.0,4.787369123492056e-308,3.734937369177747e-308,1.1609946355629918e-307,7.220337771329077e-308,6.993800037714104e-308,5.893569689269432e-308,theme_16,1.0
ABBV,2023,4.099879359419554e-309,2.05735622924985e-308,2.0149662624211553e-308,2.2612914795602167e-308,2.6035793291480457e-308,2.1478985107248904e-308,2.9936554021308854e-308,1.5883893700636696e-308,1.538576891299473e-308,3.145638038912253e-308,1.5569742442421534e-307,3.4241030038824672e-307,1.0,3.3906997410200106e-308,3.4893576415073964e-308,4.42644096874003e-308,2.87651664319292e-308,2.5221216528713153e-308,2.2244811400652177e-308,2.6707187163111617e-308,2.7079936608519357e-308,4.403579001351946e-308,3.1001064948193144e-308,theme_12,1.0
ABNB,2023,0.002979373989824126,0.015051614592600843,0.5487768154928959,0.015764106166850214,0.017944836911277476,0.015104987859036422,0.021724757454623232,0.055948617695826035,0.047686135121123636,0.012832393520061871,0.014615292509005583,0.014596197573886903,0.014311549003956564,0.01223582348207753,0.013272852572239043,0.014858185823413616,0.013903117282692952,0.014239254466303478,0.01180024260238039,0.01225961728509322,0.013300722426375424,0.014383643462293674,0.01588515931445078,theme_2,0.5487768154928959
ABT,2023,4.095104633763024e-309,2.041253769303955e-308,1.961510549199539e-308,2.3422133681876736e-308,2.619236794773133e-308,2.1610268245693896e-308,3.1432451405917344e-308,1.552720314631723e-308,1.5013152238240253e-308,3.5531957590435913e-308,1.3485962183580296e-307,1.0,3.4644636791186873e-307,3.823136148877372e-308,3.9752125326255424e-308,5.150278980935111e-308,3.215266073374916e-308,2.723710629307361e-308,2.394617904103024e-308,2.992708636650224e-308,2.996697875987562e-308,5.1113277083805e-308,3.365840119367253e-308,theme_11,1.0
ACGL,2023,0.0024963002844437003,0.010906951382403255,0.009291817696777244,0.030437138471309137,0.010340780904143292,0.009551339937995644,0.01715286836493091,0.008003382813013316,0.007650190711490695,0.015101730999585119,0.013206779804733282,0.013586915828159296,0.012005185889500572,0.012936340515712307,0.017847340081824467,0.015904166564432422,0.016649039275204485,0.07559631203444438,0.24240745424796992,0.020300834439074534,0.05778052711748197,0.014439347236654342,0.012366277968513025,theme_18,0.24240745424796992
ACN,2023,4.33368922430626e-309,2.032128430615542e-308,1.793104703442288e-308,5.149138447620734e-308,2.163993814282975e-308,1.938250252648522e-308,4.2855878242057333e-308,1.5011289308454844e-308,1.437843033692369e-308,4.129693895802037e-308,2.9002137546263945e-308,3.113855918671011e-308,2.737839803624403e-308,3.508168048667123e-308,5.840809557851182e-308,4.70925704417996e-308,5.32561493488551e-308,1.5580963084442471e-307,1.0416773966923953e-307,7.537032547894836e-308,1.0,3.939524611723752e-308,3.2101823740470634e-308,theme_20,1.0
ADBE,2023,0.0021588737554243515,0.009452680896350717,0.009201365524030725,0.015518054214093722,0.011988546634887817,0.010571614101779744,0.020958510300192697,0.007623630085424614,0.007389071876376074,0.03002996217270188,0.013454694074519586,0.015308158114178023,0.013751831136131517,0.02354847594750258,0.057457998571287756,0.03270952673740559,0.05881862859339424,0.02535019438015463,0.02041721913356362,0.31457753235782454,0.046459590093506614,0.023560839303795916,0.018969376269721772,theme_19,0.31457753235782454
ADI,2023,0.0023167347477187077,0.010209808317190474,0.07276573721268478,0.010364009390175193,0.011794498443994935,0.010402791104043194,0.013268959424049384,0.07846883170112237,0.0936734138173012,0.00850123631600216,0.009477830353117524,0.009449184137657555,0.00932656968114389,0.008246539388211517,0.008869599516866182,0.00969648375708618,0.009450427116718119,0.009430287116186981,0.008041716628102595,0.008330925945595027,0.00886824498362485,0.009305209411096213,0.01024861944385329,theme_8,0.0936734138173012
ADM,2023,0.0018086669433869016,0.009107181363508379,0.00887120621045587,0.01125799137576947,0.013426897597432185,0.010789467374101193,0.017748902792083073,0.007015014699069486,0.0067546568021644784,0.03547744957562293,0.019914218649361715,0.02592700624833137,0.022783561896070455,0.030850719254342143,0.029599902544816103,0.0508918067117622,0.027951009361352173,0.016028027658690106,0.013340322880415267,0.02249651100800802,0.020121148947156078,0.14050051345860576,0.03734320292007918,theme_21,0.14050051345860576
