ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
A,2021,0.0023820044685606166,0.007608338400820877,0.03783523026297011,0.036648230660678495,0.047343319498086595,0.039189986309947515,0.061615864259997634,0.06370224674615536,0.095396308098395,0.03799706596298595,0.02783630616633347,0.11041348023188394,0.03625469445364832,0.031689222344459415,0.057926923769112626,0.07748264768194514,0.08419320967366185,theme_11,0.11041348023188394
AAPL,2021,0.0016895730237950818,0.0049653742726163295,0.033291199685378595,0.027538872922141414,0.037449972770452915,0.02763872344836864,0.031393507613603405,0.04375276593738195,0.03124137228082537,0.026761691262197188,0.020574752093458194,0.0516369469842922,0.03276022560958267,0.029480483727953512,0.12381265422541264,0.13130820583036143,0.09312679413257244,theme_15,0.13130820583036143
ABBV,2021,0.003023557145114034,0.009376795246649397,0.048600786818633585,0.04780159011592596,0.25983939126130373,0.04740143301521179,0.04959275609857768,0.057171435405504054,0.051673482079680144,0.04342339489595401,0.03237084267804518,0.060131448611738914,0.04013404410157777,0.04006408889532428,0.07236342767241996,0.07322891461897774,0.05923882457954042,theme_4,0.25983939126130373
ABNB,2021,0.001682402598928305,0.005009916137080732,0.03326907587017214,0.030935248196401376,0.03460409517937845,0.02869855672969123,0.049014708745648096,0.0684623213480364,0.04212720710872745,0.026847108773612287,0.0193453759974266,0.0969522504699191,0.03083434248536584,0.024864490955653303,0.04803588664227672,0.09488321077921465,0.06534557481316267,theme_11,0.0969522504699191
ABT,2021,2.56319671787077e-309,8.095508630208446e-309,4.0418311002833733e-308,4.573723238254102e-308,1.0,4.295134338928808e-308,4.34234887481861e-308,4.753203427609701e-308,4.486012044721666e-308,3.83552528573766e-308,2.7600482855584995e-308,4.653452291752937e-308,3.2522148018148887e-308,3.251911605111203e-308,4.675764481403494e-308,4.853602314157228e-308,4.0920598433025143e-308,theme_4,1.0
ACGL,2021,0.00112340987089851,0.003488307763074259,0.024494210866694614,0.01935356632213408,0.021074617778736416,0.02381859823053587,0.028741611043376285,0.023268757171408062,0.020088864928564758,0.025461544447028236,0.01820156025908874,0.02136795147548391,0.05367546452321132,0.03770050880441558,0.05487795398658501,0.025930419384665657,0.03447432334975705,theme_14,0.05487795398658501
ACN,2021,0.001825420251489253,0.005840396347512029,0.035925026721288625,0.03072405814793951,0.030244641937804982,0.03975991342909308,0.052962667494649784,0.037079637040818576,0.034481310196431914,0.04524287727805816,0.02931566233960998,0.03290481313898432,0.1340280753000937,0.07438035359794296,0.04899962683204903,0.03209999006182119,0.034625165880622526,theme_12,0.1340280753000937
ADBE,2021,2.52684949624912e-309,7.368562592923017e-309,4.342916666762564e-308,3.8244626037530127e-308,5.225082079535693e-308,3.5953892695976423e-308,4.766755213129199e-308,7.185668015216475e-308,4.793881601906515e-308,3.477872661321695e-308,2.649164154825815e-308,1.0483032664386458e-307,4.0621201789148717e-308,3.5495547271096135e-308,1.0605649858090473e-307,1.0,1.5658356816394457e-307,theme_15,1.0
ADI,2021,0.002188597124721947,0.006823927284024428,0.036114609148195066,0.034088984374732165,0.04245076221939834,0.03540241712074964,0.053296275295209236,0.0665533143501914,0.07215449937946543,0.03352964482148746,0.024681044348499565,0.13328161854082063,0.032765806917802974,0.028569913246026205,0.058727680851210044,0.09528406399338421,0.09960191997372418,theme_11,0.13328161854082063
ADM,2021,0.0010450785535883677,0.0035998136334208586,0.024482372680729864,0.06916344288005151,0.026951895777867097,0.029141078220405132,0.07068135903509802,0.042631870303482006,0.029252377631193708,0.03078433709741566,0.01706761700497586,0.02862048613842193,0.017442653713253573,0.016062672791523402,0.01711831482150077,0.02078455007720868,0.017545512543406708,theme_6,0.07068135903509802
ADP,2021,0.0019365822349098822,0.006241126890558433,0.032471232103303604,0.03644580804258182,0.05046776000917035,0.039499423478194795,0.06686945075868997,0.06099127578165529,0.11588923932674614,0.03436773721745543,0.02295071679293473,0.12253440193323481,0.028322382305669472,0.024732050460250843,0.03492637597387063,0.04867489519946715,0.04076616065500169,theme_11,0.12253440193323481
ADSK,2021,0.0022104330770615853,0.00659586371394378,0.033723697456132205,0.02973811731050772,0.04091387498198581,0.03113855866908068,0.04124460614340694,0.05580647529820016,0.05213335765286745,0.028656199982683362,0.022853293852666098,0.13658623946942097,0.03172270630035805,0.02857663945984961,0.07344077543204133,0.15513266003519116,0.1641126401552375,theme_16,0.1641126401552375
AEE,2021,0.004167997520713361,0.6565231401703568,0.013001908521727452,0.013564515166953709,0.012808163510859408,0.013834655952363563,0.01364996225956826,0.012381879902093142,0.013999897891251039,0.014494017917265069,0.016385058400561724,0.011897104938482643,0.011816774229468351,0.012767580373555973,0.01168838988397684,0.01136585297035081,0.011491101106559987,theme_1,0.6565231401703568
AEP,2021,0.0029667960911853295,0.012220463660067658,0.04112848469330658,0.03757391026290134,0.03164693412750807,0.051589847482473826,0.04533265402981772,0.03162393768267251,0.04528501646138851,0.0847213665205014,0.3532701700334717,0.027522575981827738,0.034777596222127664,0.04520706600240968,0.031844666581986744,0.025995553448081635,0.02680041487111575,theme_10,0.3532701700334717
