method,year,theme_id,n_members,avg_affinity,members
sbert,2019,11,16,0.638,"AVB, AVGO, BAX, CHTR, CLX, CMCSA, CME, COO, ESS, GEN, LITE, SMCI, STZ, TDG, UAL, V"
sbert,2019,2,19,0.573,"BXP, CPT, DHI, ERIE, GL, HIG, KIM, LEN, LVS, MAA, NVR, PGR, PLD, RCL, REG, SPG, TRV, VTR, WELL"
sbert,2019,1,27,0.543,"AEE, ALL, AMGN, APH, AZO, BMY, CPRT, DGX, FE, GS, IP, LH, MCO, MSI, NDSN, NEM, NKE, ON, PFE, RL, SCHW, SO, TSCO, UPS, WMB, XEL, ZTS"
sbert,2019,5,20,0.53,"AEP, AES, CNP, COF, EXC, F, FITB, GM, KHC, LNT, MTB, NOC, PCG, PEG, PG, PNC, RF, STT, TFC, ZBRA"
sbert,2019,10,29,0.505,"AME, AMP, AXP, BAC, BBY, BDX, BK, CAT, CBRE, CSGP, DOV, HSY, HUBB, HWM, INTU, IRM, KEY, KMB, LDOS, MET, NUE, ROST, TRMB, UDR, VRT, WAB, WDC, WFC, WSM"
sbert,2019,12,23,0.498,"AAPL, AFL, AMD, AXON, CDW, COST, CVNA, DECK, DXCM, EL, EME, EXPD, EXPE, HAS, IBKR, JBL, JCI, MA, MRNA, MSFT, ODFL, SATS, ULTA"
sbert,2021,4,8,1.0,"AEP, D, DUK, ES, FSLR, LNT, PPL, XEL"
sbert,2021,5,8,1.0,"AJG, DOV, FOX, FOXA, MLM, NWS, NWSA, TROW"
sbert,2021,19,8,1.0,"AIZ, CCI, CNC, CRL, EA, MDT, PSA, USB"
sbert,2021,20,8,1.0,"APP, CIEN, DASH, DE, EBAY, FRT, MTD, XYZ"
sbert,2021,3,9,0.97,"APA, C, CTRA, FCX, LYB, MAA, MS, OXY, PHM"
sbert,2021,2,9,0.94,"CAH, ED, EIX, HON, KMI, O, PSX, VLO, WY"
sbert,2021,18,11,0.939,"ALLE, BIIB, CRM, LDOS, MA, NEE, NOW, NXPI, ORLY, PEP, TT"
sbert,2021,14,11,0.937,"ADI, AMCR, AMT, BRK-B, DG, DOW, KLAC, MDLZ, PFG, STE, VICI"
sbert,2021,13,12,0.876,"AVGO, CDNS, CHTR, DECK, DVA, ELV, HWM, JKHY, NDAQ, PNW, TDY, WDC"
sbert,2021,7,10,0.84,"AMP, BXP, CBRE, CPT, DHI, LEN, NVR, VTR, WAB, WELL"
sbert,2021,16,10,0.839,"ARES, BR, FIX, J, LRCX, LULU, NTAP, TER, TMUS, UBER"
sbert,2021,1,13,0.796,"CLX, ETR, FANG, FTNT, GNRC, GOOG, GOOGL, GPN, HLT, LITE, MRNA, REG, TSLA"
sbert,2021,9,11,0.779,"ALB, AME, AVY, BAC, BBY, BDX, BK, KEY, NUE, PH, WFC"
sbert,2021,12,12,0.736,"DOC, EPAM, GEN, LHX, MSCI, OTIS, PYPL, RTX, SMCI, V, VRTX, WST"
sbert,2021,6,15,0.72,"ABBV, ABT, BAX, BSX, COR, CVS, HCA, HSIC, IQV, JNJ, PODD, SYK, TMO, UNH, ZBH"
sbert,2021,11,13,0.675,"AWK, EG, EQR, IBM, IT, JBHT, KIM, MO, MPWR, PM, UNP, WRB, WTW"
sbert,2021,17,18,0.674,"AAPL, ABNB, AFL, AMD, AXON, CDW, COST, EL, EXPD, EXPE, FICO, HAS, HPE, HSY, IBKR, PWR, RL, SATS"
