ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,best_theme,best_score
A,2023,0.0020188668780233773,0.0012832355528674879,0.03814864734685753,0.03556472078870081,0.043740297933604316,0.05757569735312845,0.028168319458572802,0.033755720409176335,0.04026894551186012,0.06710984401879429,0.0758725276092475,0.10341967050729717,0.04513772512765379,0.032244579196787526,0.04303039641594426,theme_11,0.10341967050729717
AAPL,2023,1.892192108591935e-309,1.19952986419707e-309,2.7265226354561693e-308,3.6210719391402127e-308,4.411187421908035e-308,4.413710335205082e-308,2.58140502226423e-308,3.3306363265433705e-308,7.86384439289839e-308,5.279177560641217e-308,3.215438350612502e-308,3.7789634570416225e-308,8.314107672718179e-308,8.61115763646315e-308,1.0,theme_14,1.0
ABBV,2023,1.87592357336816e-309,1.198709760241284e-309,3.6629389326425347e-308,1.0,3.030519977147853e-308,4.521188599317753e-308,2.8331157486991983e-308,3.402113858400187e-308,3.1727749154231123e-308,3.555257038031555e-308,3.0955208388691547e-308,3.0613250437803615e-308,3.8181833075585405e-308,3.619416957388506e-308,3.6147043861096846e-308,theme_3,1.0
ABNB,2023,0.0017022174596401877,0.0010851662583873064,0.035748932782874845,0.03659902360246036,0.052244142393820185,0.07090831394485199,0.026403163965362048,0.033154850649680316,0.05982165911709225,0.07515714615048673,0.052013584396759266,0.10459227029809089,0.06568544124811586,0.04026459695574493,0.07292408471925402,theme_11,0.10459227029809089
ABT,2023,1.87743442809982e-309,1.199674962178376e-309,3.70473348066098e-308,1.0,3.154371095476222e-308,4.672103893992783e-308,2.8333061598865307e-308,3.4259653041526064e-308,3.22671496469728e-308,3.74644052083918e-308,3.2460538690630236e-308,3.1799580078844277e-308,3.791077786208538e-308,3.62797232588738e-308,3.760821191432637e-308,theme_3,1.0
ACGL,2023,1.882885113636207e-309,1.19684992426007e-309,3.2276975985150825e-308,4.027314249246879e-308,4.568809414567265e-308,5.435293876026911e-308,2.818027892123883e-308,3.586814587597136e-308,9.016717709539465e-308,5.195182244982989e-308,3.4955597533688223e-308,4.488304239514231e-308,1.0,7.592390549873711e-308,8.543066781380342e-308,theme_12,1.0
ACN,2023,0.0019003240726945096,0.0012096923204644213,0.027117513791037818,0.03563937844114439,0.04200272109173524,0.04510486727040116,0.02264113748000278,0.027651839399818294,0.056505378501432946,0.06568539044444931,0.033484799877295274,0.051224861377003224,0.09794420735210965,0.056653068954625595,0.3402257884230208,theme_14,0.3402257884230208
ADBE,2023,0.0016377786943467339,0.0010435036525540493,0.03226993607952292,0.038615510938093234,0.041390261326904695,0.05451979949676555,0.02361208888870703,0.028270222787892662,0.04888940300237721,0.16107495930905122,0.045851029147518346,0.10282978253587163,0.06905576374292215,0.03782138872430037,0.07866794240732913,theme_9,0.16107495930905122
ADI,2023,0.001842287951827105,0.0011715563112231328,0.034049666517848014,0.03746009879427894,0.03897886602171178,0.05539302499399742,0.025122464812533014,0.03085509484927283,0.04341161989191474,0.08154303043320098,0.049953010908040246,0.08325177674739813,0.06020360776303481,0.035953176198589815,0.0522139983719434,theme_11,0.08325177674739813
ADM,2023,0.0019475946098609805,0.0012544707960237176,0.3751244129203358,0.042782801810329174,0.03256794337856557,0.04035554419455428,0.03539006540292651,0.04208602347359065,0.029381469927066077,0.03841931115756956,0.045118642941254415,0.032362126101174504,0.029994645753864325,0.026271421053932806,0.026586442483475376,theme_2,0.3751244129203358
